wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
2,2,1,0,4,1,0,0,1,2,37,0,0,0.9,0.6666667,0,0,17.5,1,0.5,0
11,2,0,2,15,37,1,0,11,1.1,230,0,0,0.54545456,0.33333334,1,9,19.818182,3,0.90909094,0
1,1,0,2,2,0,2,0,1,2,12,0,0,0,1,0,0,3,0,0,0
8,5,0,2,16,0,0,0,8,0.5714286,103,1,0,0.9066667,0.6875,2,2,11.5,1,0.875,0
18,2,2,5,59,113,2,0,6,0.93582886,499,0.54545456,0,0.33333334,0.22875817,0,0,26.11111,15,1.8333334,2
17,1,0,10,48,6,2,0,15,0.775,1267,1,6,0,0.23214285,0,0,72.35294,4,1.117647,0
15,2,0,15,55,71,1,0,12,0.8877551,630,1,1,0.6060606,0.23214285,0,0,40.533333,1,0.8666667,0
8,1,0,25,14,22,25,0,7,0.14285715,113,1,0,0,0.3809524,0,0,13,1,0.75,0
4,2,0,2,8,4,1,0,2,0.6666667,37,1,0,0.5,0.5,0,0,8,2,1,0
7,1,0,5,41,1,1,0,6,0.6904762,268,1,3,0,0.35714287,0,0,36.285713,14,2.7142856,0
12,1,0,2,21,0,2,0,12,0.8363636,304,0.4,0,0,0.45833334,0,0,23.916666,7,1.3333334,0
3,3,0,0,8,0,0,0,0,0,24,0,1,0.9285714,0.5555556,1,2,6.6666665,1,0.6666667,0
4,5,1,0,8,6,0,0,4,2,20,0,0,1,0.6666667,0,0,4,0,0,0
6,1,0,0,12,0,0,0,6,0.3,57,0.5,1,0,0.41666666,1,1,8.166667,3,1.3333334,0
2,1,0,2,4,0,1,0,0,1.1666666,27,0,4,0,0.75,0,0,9.5,1,0.5,0
67,1,2,6,82,2141,4,0,67,0.95671,373,1,1,0,0.20024876,0,0,4.4626865,2,0.98507464,0
8,1,0,7,22,12,3,0,7,0.82857144,91,1,2,0,0.39285713,0,0,9.75,1,0.75,0
5,3,0,5,10,0,2,0,5,2,38,0,0,0.90697676,0.55,0,0,6.6,1,0.8,0
43,2,0,48,211,0,4,0,23,0.9135338,2511,1,17,0.46052632,0.06349207,2,2,56.953487,9,1.2790698,0
1,1,0,0,2,0,0,0,1,2,23,0,0,0,1,0,0,3,0,0,1
5,2,0,1,11,0,1,0,5,0.625,39,1,0,0.33333334,0.4,0,0,6.4,1,0.8,0
2,1,0,1,4,0,1,0,1,0,26,0.6666667,3,0,0.625,0,0,10.5,1,0.5,0
1,2,0,4,2,0,2,0,0,2,40,0,4,0,1,0,0,31,0,0,0
32,1,2,0,63,0,0,0,32,0,185,1,1,0,0.3359375,0,0,4.75,2,1,0
1,1,0,1,2,0,0,0,0,2,16,0,1,0,1,0,0,9,0,0,0
6,3,0,1,22,15,1,0,4,1.12,184,0,0,0.85,0.5,1,1,28.833334,14,2.8333333,0
5,1,0,30,5,10,28,0,5,2,5,0,0,0,0.4,0,0,0,1,1,0
14,2,0,5,47,9,0,0,4,0.8557692,583,0.5,0,0.7209302,0.5192308,2,4,40.07143,7,2,0
