wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
7,1,0,2,21,17,0,2,2,0.6666667,90,0.0,1,0.0,0.2777778,0,0,11.571428,2,1.0,1
10,1,0,4,19,5,2,2,4,0.41666666,123,0.0,1,0.0,0.4814815,0,0,10.9,3,1.5,3
4,1,0,2,5,0,2,0,4,0.33333334,21,1.0,0,0.0,0.75,0,0,4.0,1,0.5,2
18,1,0,17,36,113,16,1,16,0.91950464,442,0.42105263,14,0.0,0.13235295,1,1,22.5,3,1.5,2
2,1,0,2,9,1,2,0,2,2.0,59,0.0,0,0.0,0.5,0,0,28.5,6,3.0,3
7,1,0,6,22,11,0,6,3,0.6666667,107,0.0,1,0.0,0.375,0,0,13.857142,2,0.85714287,1
2,1,0,1,9,0,1,1,1,0.0,33,1.0,1,0.0,0.6666667,0,0,15.0,1,0.5,0
2,1,0,5,4,1,1,4,1,2.0,10,0.0,0,0.0,0.75,0,0,4.0,1,0.5,0
2,2,0,5,7,0,1,4,1,0.0,36,1.0,0,0.75,0.625,1,1,16.0,1,0.5,0
7,1,0,2,24,15,0,2,2,0.6111111,117,0.0,1,0.0,0.2777778,0,0,15.285714,2,1.1428572,2
7,1,0,4,29,17,0,4,2,0.6666667,154,0.0,1,0.0,0.33333334,0,0,20.714285,2,1.0,2
15,1,0,27,15,105,22,6,15,2.0,15,0.0,0,0.0,0.21666667,0,0,0.0,1,1.0,3
6,2,0,5,10,0,0,5,6,0.5,62,0.0,1,0.44444445,0.375,1,1,9.0,5,1.6666666,2
6,1,0,5,32,9,0,5,2,0.6666667,148,0.0,1,0.0,0.33333334,0,0,23.166666,2,1.0,1
6,5,0,5,46,11,1,4,1,0.88,251,0.8,2,0.9936102,0.3,0,0,40.0,8,2.5,2
9,1,0,6,23,0,3,3,9,0.125,208,1.0,0,0.0,0.41666666,0,0,22.0,5,3.3333333,2
2,1,0,6,8,0,1,6,1,0.0,32,1.0,2,0.0,0.6666667,0,0,14.0,1,0.5,0
6,2,0,5,24,3,0,5,6,0.8,239,1.0,0,0.61538464,0.44444445,0,0,38.166668,6,1.6666666,6
2,1,0,3,4,0,1,3,1,0.0,21,1.0,2,0.0,0.625,0,0,8.5,1,0.5,0
5,1,0,0,16,0,0,0,2,0.20833333,268,0.0,0,0.0,0.33333334,0,0,51.4,4,2.0,2
10,1,0,3,17,0,2,1,9,0.5555556,249,0.0,1,0.0,0.46666667,0,0,23.4,5,2.1,2
8,1,0,3,30,12,0,3,2,0.6666667,228,0.0,1,0.0,0.32142857,0,0,26.75,4,1.75,0
6,1,0,3,25,11,1,2,3,0.68,154,0.6,0,0.0,0.44,0,0,23.833334,8,2.3333333,2
3,1,0,3,4,3,1,2,3,2.0,9,0.0,0,0.0,0.6666667,0,0,2.0,1,0.6666667,2
2,1,0,7,10,0,1,7,1,0.0,33,1.0,1,0.0,0.6666667,0,0,15.0,3,1.5,0
21,2,0,6,45,150,0,6,17,0.78125,279,1.0,0,0.47368422,0.2952381,1,2,11.904762,2,1.0952381,4
2,2,0,4,5,0,1,3,1,0.0,22,1.0,0,0.75,0.625,1,1,9.5,2,1.0,0
1,1,0,3,1,0,2,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,2
2,3,0,4,6,1,1,4,1,2.0,14,0.0,0,0.9848485,0.75,1,1,6.0,1,0.5,0
15,2,0,12,43,83,1,11,10,0.7380952,187,1.0,3,0.58064514,0.14285715,1,1,11.266666,4,1.2,2
3,6,0,4,13,1,1,3,2,0.75,59,1.0,0,0.99699247,0.44444445,1,1,18.0,2,1.0,3
8,1,0,7,42,14,0,7,2,0.75,308,0.0,2,0.0,0.23809524,0,0,37.0,4,1.5,2
18,1,0,35,79,135,19,18,9,0.9669118,762,0.1875,1,0.0,0.2777778,0,0,40.444443,10,2.6666667,4
3,2,2,5,7,1,2,3,1,0.5,53,0.0,0,0.6,0.5833333,1,1,16.333334,4,1.6666666,0
2,1,0,1,4,0,1,1,1,0.0,13,1.0,1,0.0,0.75,0,0,5.0,1,0.5,0
8,3,0,11,18,8,7,4,6,0.85714287,116,0.33333334,0,0.8717949,0.5416667,2,5,13.125,3,1.0,7
7,1,0,3,11,15,3,1,7,0.6666667,49,1.0,0,0.0,0.64285713,0,0,5.857143,2,0.85714287,2
9,3,0,2,18,0,1,1,8,0.0,88,1.0,0,0.8769231,0.41666666,1,1,8.666667,2,1.0,1
8,2,0,10,16,18,6,4,7,0.875,103,0.75,1,0.5714286,0.5,0,0,10.875,3,1.0,5
10,5,0,20,41,25,16,5,8,0.9305556,311,1.0,2,0.98913044,0.28,3,3,28.5,3,1.5,3
2,1,0,3,3,0,1,2,2,0.0,12,0.0,1,0.0,0.75,0,0,4.5,1,0.5,2
2,1,0,3,6,0,1,3,1,0.0,18,1.0,1,0.0,0.6666667,0,0,7.5,1,0.5,0
2,1,0,3,5,0,1,3,1,0.33333334,25,1.0,2,0.0,0.6,0,0,10.0,1,0.5,0
10,3,0,8,42,0,0,8,5,0.8666667,435,0.2,1,0.825,0.31111112,1,1,41.0,6,1.6,4
2,1,0,1,4,0,1,1,1,0.0,13,1.0,1,0.0,0.6666667,0,0,5.0,1,0.5,0
3,1,0,6,9,0,5,1,3,0.8333333,41,0.6666667,0,0.0,0.6666667,0,0,11.666667,2,1.0,5
2,3,0,4,6,1,1,4,1,2.0,14,0.0,0,0.9848485,0.75,1,1,6.0,1,0.5,0
13,2,0,6,35,46,0,6,11,0.9166667,758,0.375,0,0.42105263,0.2361111,1,1,56.692307,7,1.6153846,3
7,3,0,5,19,7,1,5,4,0.7777778,74,0.33333334,1,0.9122807,0.5,2,2,9.142858,1,0.71428573,0
4,1,0,3,15,4,1,2,2,0.8333333,68,0.0,1,0.0,0.5,0,0,15.5,1,0.5,2
4,1,0,3,15,6,0,3,2,1.0,54,0.0,0,0.0,0.3125,0,0,12.25,1,0.75,2
2,1,0,2,15,0,1,2,2,0.0,161,1.0,1,0.0,0.625,0,0,78.5,11,5.5,0
4,4,0,3,8,0,1,2,4,0.33333334,38,1.0,0,0.875,0.4,2,2,8.25,1,0.75,2
2,1,0,2,5,0,1,1,1,0.0,19,1.0,1,0.0,0.75,0,0,8.0,1,0.5,2
13,2,0,5,35,48,0,5,11,0.7916667,259,0.0,0,0.6,0.2923077,1,2,18.461538,5,1.5384616,3
8,1,0,5,40,24,0,5,2,0.71428573,331,0.0,1,0.0,0.21428572,0,0,40.125,2,1.125,1
6,1,0,14,21,0,12,2,5,0.88,286,0.2,0,0.0,0.46666667,0,0,45.0,6,3.0,6
2,1,0,2,4,0,1,2,1,0.5,17,1.0,2,0.0,0.625,0,0,6.5,1,0.5,0
1,3,0,2,2,0,2,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,3
6,2,0,5,25,5,2,4,1,0.8,94,0.75,2,0.93846154,0.24,1,1,14.0,1,0.6666667,3
20,1,0,5,37,116,2,3,14,0.75438595,209,1.0,1,0.0,0.31578946,0,0,9.3,3,0.95,0
2,2,0,1,4,0,1,1,2,0.5,17,1.0,2,0.90909094,0.6666667,0,0,6.5,1,0.5,0
11,2,1,7,27,19,1,6,11,0.9111111,198,0.5555556,0,0.44444445,0.3030303,0,0,16.181818,7,2.0,2
2,1,0,1,4,0,1,1,1,0.0,13,1.0,1,0.0,0.6666667,0,0,5.0,1,0.5,0
2,1,0,2,4,0,1,2,1,0.0,19,1.0,2,0.0,0.6666667,0,0,7.5,1,0.5,0
2,1,0,2,4,0,1,2,1,0.0,19,1.0,2,0.0,0.625,0,0,7.5,1,0.5,0
2,1,0,1,6,0,1,1,1,0.0,25,1.0,1,0.0,0.6666667,0,0,11.0,1,0.5,0
20,2,2,10,40,112,4,6,13,0.68421054,296,1.0,1,0.51428574,0.19375,1,3,13.65,5,1.85,3
10,2,0,6,38,9,0,6,6,0.74747473,327,0.0,2,0.884058,0.22222222,0,0,30.6,4,2.0,1
4,1,0,2,7,0,1,2,3,0.33333334,40,1.0,2,0.0,0.5,0,0,8.25,1,0.75,0
4,3,2,6,12,0,5,1,4,0.0,57,1.0,1,0.85714287,0.5,2,2,13.0,2,1.0,2
20,1,0,8,60,178,2,8,4,1.0040486,387,0.23076923,2,0.0,0.2706767,0,0,17.7,7,1.45,2
3,5,0,12,35,3,8,11,0,1.0,407,0.5,1,0.99839485,0.5,0,0,134.0,1,0.33333334,3
