wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
1,6,0,7,2,0,6,1,1,2.0,6,0.0,0,1.0,1.0,0,0,5.0,0,0.0,0
8,1,0,7,17,0,2,5,7,0.5714286,134,1.0,2,0.0,0.45833334,0,0,15.375,3,1.375,1
5,2,0,1,6,8,1,1,4,1.0833334,33,0.0,0,0.5714286,1.0,0,0,5.0,1,0.6,0
4,1,0,2,18,0,1,1,4,0.22222222,129,1.0,1,0.0,0.4375,1,1,30.5,6,2.5,0
14,2,0,5,23,73,2,3,12,0.78846157,122,0.75,0,0.47826087,0.31428573,1,4,7.428571,1,0.85714287,1
5,2,0,1,6,8,1,1,4,1.0833334,33,0.0,0,0.5714286,1.0,0,0,5.0,1,0.6,0
11,2,0,6,22,35,1,5,9,0.8,122,0.5,0,0.55,0.3090909,1,4,9.909091,2,0.90909094,1
14,2,0,9,30,55,4,5,12,0.75384617,259,0.8,0,0.47826087,0.21428572,1,4,17.142857,5,1.6428572,2
4,4,0,3,8,6,2,1,4,2.0,20,0.0,0,1.0,0.6666667,0,0,4.0,0,0.0,0
10,2,0,6,19,39,2,4,8,1.0,94,0.2,0,0.57894737,0.32,1,4,7.9,2,0.9,1
5,2,0,1,6,8,1,1,4,1.0833334,33,0.0,0,0.5714286,1.0,0,0,5.0,1,0.6,0
57,2,0,15,87,1362,14,7,17,0.9270833,1806,1.0,1,0.25,0.26530612,1,7,30.473684,19,2.5263157,1
1,1,0,1,2,0,1,1,1,2.0,16,0.0,1,0.0,1.0,0,0,12.0,0,0.0,0
29,3,0,15,48,146,9,7,27,0.97789115,538,0.23809524,4,0.30769232,0.25287357,1,4,16.103449,2,0.9655172,2
5,3,0,4,13,10,2,2,4,1.25,40,0.0,0,0.92,0.4,1,1,6.8,1,0.4,0
11,3,1,11,14,41,7,4,11,0.9166667,66,0.0,1,0.64285713,0.3272727,0,0,4.4545455,1,0.90909094,1
10,2,0,6,19,33,2,4,8,0.8333333,101,0.5,0,0.57894737,0.26666668,1,4,8.9,2,1.1,1
11,2,0,6,22,35,1,5,9,1.0,126,0.16666667,0,0.55,0.3090909,1,4,9.909091,2,0.90909094,1
10,1,2,6,14,19,3,4,6,0.6111111,71,1.0,2,0.0,0.325,0,0,5.9,3,1.3,0
2,2,0,3,6,0,1,2,1,0.0,29,0.0,0,0.6666667,0.625,0,0,13.0,3,1.5,0
9,1,0,8,45,36,1,8,5,2.0,3581,0.0,0,0.0,0.2962963,0,0,396.8889,3,1.3333334,1
1,1,0,21,1,0,21,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1
5,1,0,0,11,0,0,0,3,0.0,86,0.0,0,0.0,0.6666667,0,0,16.0,3,1.6,0
5,2,0,1,6,8,1,1,4,1.0833334,33,0.0,0,0.5714286,1.0,0,0,5.0,1,0.6,0
11,2,0,7,21,35,2,5,9,0.8,107,0.5,0,0.55,0.25757575,1,4,8.545455,2,0.90909094,0
39,1,0,3,78,0,2,1,38,0.92368424,234,0.0,1,0.0,0.3025641,0,0,4.74359,2,1.0256411,0
4,3,0,3,7,6,1,2,4,1.3333334,18,0.0,0,0.96,0.5,1,3,3.25,1,0.25,1
14,2,0,7,37,35,3,5,12,0.7307692,335,0.5,0,0.47826087,0.34285715,1,4,22.785715,2,1.3571428,1
4,1,0,1,5,0,1,0,4,1.125,33,0.25,0,0.0,0.5833333,0,0,5.25,1,0.5,1
4,4,0,3,8,6,2,1,4,2.0,20,0.0,0,1.0,0.6666667,0,0,4.0,0,0.0,0
3,1,0,4,4,3,1,3,3,2.0,7,0.0,0,0.0,0.8333333,0,0,1.3333334,1,0.6666667,1
10,3,0,6,13,3,2,4,10,0.7222222,69,0.5,0,0.46666667,0.3,1,2,5.7,1,0.8,1
12,2,0,17,49,0,10,8,11,0.75757575,269,0.33333334,0,0.6333333,0.2777778,1,5,21.166666,3,1.25,1
3,3,0,6,4,1,5,1,3,2.0,22,0.0,0,0.875,0.5555556,0,0,6.3333335,2,1.3333334,1
16,2,2,8,43,96,4,5,14,0.75555557,457,0.5,0,0.45833334,0.325,1,4,27.1875,5,1.6875,1
