wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
3,1,0,4,8,1,3,1,0,0.5,45,1.0,0,0.0,0.5,0,0,13.666667,2,0.6666667,0
18,3,0,10,62,149,0,10,6,1.0196079,417,0.44444445,1,0.6,0.3382353,1,2,21.666666,5,1.1111112,0
12,1,0,3,19,42,1,2,9,0.8181818,159,0.5,0,0.0,0.3611111,0,0,11.916667,5,1.6666666,2
4,1,0,6,6,0,1,5,3,0.6111111,54,1.0,2,0.0,0.375,0,0,11.0,2,1.0,0
3,1,0,6,18,0,1,6,3,0.33333334,132,1.0,2,0.0,0.5833333,0,0,42.0,2,1.3333334,0
6,2,0,14,38,1,1,13,5,0.6,297,1.0,1,0.64285713,0.3611111,0,0,47.666668,5,1.6666666,6
4,1,0,6,4,6,6,0,4,2.0,4,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0
4,1,0,6,6,2,1,5,3,0.6666667,43,1.0,2,0.0,0.4,0,0,8.5,1,0.75,0
5,1,0,6,9,0,2,4,4,0.25,37,1.0,1,0.0,0.43333334,0,0,6.2,1,0.8,2
5,2,0,10,11,10,6,6,5,2.0,31,0.0,0,0.90909094,0.4,1,2,5.2,1,0.6,0
5,2,0,17,38,0,4,15,5,0.41666666,310,1.0,1,0.90909094,0.46666667,0,0,60.4,1,0.6,0
24,1,0,2,36,0,1,1,21,0.5081522,1008,0.6875,0,0.0,0.3125,0,0,40.333332,7,1.5,0
5,2,1,9,24,4,2,7,3,0.25,124,1.0,1,0.5714286,0.45714286,0,0,23.6,2,0.8,0
4,1,0,9,14,6,9,0,3,2.0,66,0.0,0,0.0,0.41666666,0,0,15.5,5,1.75,2
8,2,0,9,39,8,0,9,5,0.5,288,1.0,0,0.6315789,0.375,1,1,34.75,7,2.25,0
5,1,0,4,26,0,0,4,5,0.9166667,121,0.33333334,0,0.0,0.48,0,0,22.6,2,1.4,2
4,3,0,8,11,6,4,5,3,2.0,46,0.0,0,0.9459459,0.45833334,2,3,10.5,5,1.5,0
1,1,0,2,1,0,2,0,0,2.0,352,0.0,0,0.0,0.0,0,0,276.0,0,0.0,6
0,1,0,2,0,0,2,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
9,1,0,2,27,18,0,2,7,0.825,236,0.4,0,0.0,0.4,0,0,24.666666,5,1.8888888,2
5,2,0,11,18,10,4,9,5,2.0,129,0.0,0,0.90909094,0.4,1,1,24.8,1,0.6,1
7,1,0,3,9,11,3,0,7,0.6111111,43,1.0,0,0.0,0.52380955,0,0,4.714286,1,0.85714287,0
10,3,0,7,20,3,5,2,10,0.5555556,86,1.0,0,0.8333333,0.38,1,4,7.4,1,0.6,0
2,3,0,2,3,1,1,1,0,2.0,8,0.0,0,1.0,0.75,0,0,3.0,0,0.0,0
3,2,0,4,8,3,1,3,1,2.0,32,0.0,0,0.9846154,0.5,1,1,9.666667,1,0.33333334,0
5,1,0,3,10,0,1,2,4,0.25,37,1.0,1,0.0,0.46666667,0,0,6.2,2,0.8,0
3,2,1,16,13,3,11,5,3,2.0,74,0.0,0,0.6666667,0.44444445,0,0,23.666666,1,0.33333334,0
6,2,0,5,11,3,1,4,4,0.0,74,1.0,0,0.87096775,0.56666666,1,3,11.0,3,1.1666666,0
3,2,0,3,6,3,0,3,3,2.0,17,0.0,0,0.9677419,0.53333336,0,0,4.6666665,1,0.33333334,0
44,1,1,44,86,946,1,43,44,1.0,344,1.0,1,0.0,0.06464647,0,0,6.7727275,1,0.97727275,1
9,1,0,3,29,30,1,2,4,1.0,465,0.75,0,0.0,0.2361111,0,0,50.22222,17,5.111111,1
2,1,0,3,3,1,1,2,0,2.0,10,0.0,1,0.0,0.75,0,0,3.0,0,0.0,0
4,1,0,6,7,0,1,5,3,0.46666667,68,1.0,1,0.0,0.4375,0,0,14.75,3,1.75,0
4,1,0,6,10,6,1,5,4,2.0,34,0.0,0,0.0,0.5,0,0,7.5,1,0.75,0
9,2,0,9,55,2,0,9,6,0.5833333,476,1.0,0,0.6,0.37777779,2,2,51.555557,9,3.1111112,1
12,1,0,2,25,0,1,1,12,0.43636364,253,1.0,0,0.0,0.39583334,0,0,19.666666,3,1.3333334,0
2,1,0,6,13,1,1,5,2,2.0,53,0.0,0,0.0,0.5,0,0,25.5,1,0.5,1
6,1,0,4,16,3,1,4,6,0.7,107,1.0,1,0.0,0.5,0,0,16.166666,7,2.0,0
3,2,0,2,6,3,0,2,1,2.0,12,0.0,0,0.71428573,0.6666667,1,2,3.0,1,0.6666667,0
3,1,0,2,8,0,1,1,3,0.0,117,1.0,0,0.0,0.5,1,1,37.333332,8,3.6666667,0
10,1,0,4,25,3,1,3,7,0.6296296,241,0.0,0,0.0,0.2857143,0,0,22.8,7,1.6,0
0,1,0,1,0,0,1,0,0,2.0,2,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
0,1,0,67,0,0,64,4,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
62,1,0,42,165,1423,3,39,48,0.8275125,1691,0.6086956,7,0.0,0.13548388,0,0,25.903225,6,1.3225807,8
4,2,0,8,12,6,4,6,4,2.0,43,0.0,0,0.9375,0.41666666,1,1,9.75,1,0.5,0
4,1,0,6,7,0,1,5,3,0.5555556,45,1.0,1,0.0,0.4,0,0,9.5,2,1.0,0
8,2,0,18,41,0,5,15,8,0.64285713,218,1.0,1,0.8333333,0.28125,1,1,25.75,1,0.75,3
6,1,1,21,8,9,21,1,5,0.6,41,1.0,0,0.0,0.44444445,0,0,5.3333335,1,0.6666667,0
6,2,0,11,24,15,4,9,5,2.0,207,0.0,0,0.88235295,0.33333334,2,2,33.5,2,0.8333333,0
5,2,0,9,8,10,0,9,5,2.0,22,0.0,0,0.6923077,0.44,0,0,3.4,1,0.8,5
4,1,0,15,4,6,14,1,4,1.3333334,14,0.0,0,0.0,0.55,0,0,0.0,1,1.0,2
4,1,0,6,6,0,1,5,3,0.5714286,64,1.0,2,0.0,0.375,0,0,13.25,3,1.25,0
3,1,0,9,3,3,8,1,3,2.0,3,0.0,0,0.0,0.6666667,0,0,0.0,1,1.0,0
3,2,0,4,8,3,1,3,3,2.0,23,0.0,0,0.9846154,0.5,1,1,6.6666665,1,0.33333334,0
0,1,0,2,0,0,2,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
4,2,0,9,8,6,4,7,4,2.0,23,0.0,0,0.9375,0.39285713,0,0,4.75,1,0.5,2
5,1,0,2,6,0,2,0,4,0.41666666,103,1.0,0,0.0,0.46666667,0,0,19.0,3,1.4,0
4,2,0,10,10,6,4,8,4,2.0,37,0.0,0,0.9375,0.39285713,1,1,8.25,1,0.5,0
2,2,2,6,6,1,2,4,1,2.0,19,0.0,0,0.9,0.75,0,0,8.5,2,1.0,0
3,2,0,3,6,3,0,3,3,2.0,17,0.0,0,0.9677419,0.53333336,0,0,4.6666665,1,0.33333334,0
5,1,0,15,5,10,11,4,5,2.0,5,0.0,0,0.0,0.68,0,0,0.0,1,1.0,2
25,1,0,7,78,194,2,5,17,0.8787879,530,0.72727275,3,0.0,0.26190478,0,0,19.76,3,1.04,0
5,2,0,11,18,10,4,9,5,2.0,130,0.0,0,0.90909094,0.4,1,1,25.0,1,0.6,1
3,5,0,2,6,3,1,1,3,1.5,17,1.0,0,1.0,0.7777778,0,0,4.3333335,0,0.0,0
1,1,0,5,1,0,4,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
10,2,0,9,46,0,1,8,8,0.5555556,296,0.5,1,0.75,0.3857143,0,0,28.2,9,2.6,3
30,1,0,10,60,435,0,10,30,2.0,133,0.0,0,0.0,0.13333334,0,0,3.4333334,1,0.96666664,0
1,1,0,6,1,0,5,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
9,2,0,9,26,24,1,9,5,0.85,119,1.0,2,0.5294118,0.2962963,0,0,11.666667,2,1.0,1
4,2,0,6,7,6,4,4,4,2.0,20,0.0,0,0.9375,0.41666666,0,0,4.0,1,0.5,0
153,1,0,68,250,8092,49,61,50,0.7434211,8270,0.8076923,10,0.0,0.1455592,0,0,52.882355,12,2.627451,11
2,2,0,2,3,1,0,2,2,2.0,6,0.0,0,0.8,0.6666667,0,0,2.0,1,0.5,0
25,1,0,13,59,300,1,12,25,2.0,220,0.0,0,0.0,0.16,0,0,7.8,2,1.0,2
7,2,0,16,36,9,4,14,5,0.6041667,271,0.875,3,0.85714287,0.3265306,1,1,36.57143,1,0.71428573,0
8,2,0,14,43,8,4,12,8,0.62857145,376,1.0,1,0.8333333,0.265625,1,2,45.375,5,1.875,0
3,1,0,2,13,1,2,0,2,0.5,95,1.0,0,0.0,0.5,0,0,30.333334,4,1.3333334,1
3,3,0,9,14,3,4,6,3,2.0,48,0.0,0,0.9722222,0.53333336,2,2,15.0,3,1.0,0
3,2,0,2,6,3,0,2,1,2.0,12,0.0,0,0.71428573,0.6666667,1,2,3.0,1,0.6666667,0
8,1,0,6,24,16,1,6,1,0.64285713,327,1.0,2,0.0,0.3469388,0,0,39.125,4,1.5,0
3,1,0,6,3,3,2,4,3,1.5,5,0.0,0,0.0,0.5833333,0,0,0.0,1,1.0,1
4,2,0,4,18,0,1,3,2,0.5555556,116,0.33333334,0,0.5714286,0.45,0,0,27.25,6,2.0,1
1,5,0,4,2,0,3,1,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
3,1,0,4,3,3,2,2,3,2.0,3,0.0,0,0.0,0.5555556,0,0,0.0,1,1.0,0
9,2,0,18,44,6,4,14,9,0.7638889,415,1.0,1,0.5294118,0.25,0,0,44.11111,2,1.0,7
6,1,0,7,20,9,7,0,4,0.7,185,0.25,0,0.0,0.4,0,0,29.166666,6,2.0,0
6,1,0,3,6,15,2,1,6,2.0,6,0.0,0,0.0,0.9166667,0,0,0.0,1,1.0,0
8,5,0,46,14,6,43,3,8,0.8095238,79,1.0,0,0.6666667,0.375,1,1,8.125,1,0.875,0
1,4,0,2,2,0,2,0,1,2.0,4,0.0,0,1.0,1.0,0,0,3.0,0,0.0,0
6,1,1,5,17,3,3,2,5,0.4,121,1.0,0,0.0,0.3888889,0,0,18.833334,5,1.8333334,2
3,2,0,2,14,0,1,1,3,0.0,42,1.0,0,0.6666667,0.5555556,0,0,12.666667,1,0.6666667,0
3,1,1,6,9,1,1,5,1,0.5,52,1.0,2,0.0,0.46666667,0,0,15.666667,1,0.6666667,0
4,4,6,38,7,0,37,1,4,0.6666667,35,1.0,0,0.9285714,0.6666667,0,0,7.25,1,0.25,0
5,1,0,6,19,10,2,4,5,2.0,247,0.0,0,0.0,0.3,0,0,48.4,12,4.2,0
1,1,0,3,1,0,2,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
12,3,0,8,30,64,1,7,11,1.0,93,1.0,0,0.92045456,0.6060606,1,2,6.5833335,1,0.5833333,0
1,1,0,6,1,0,2,4,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
7,3,0,13,31,9,0,13,5,0.5,298,1.0,0,0.625,0.42857143,0,0,41.285713,1,0.85714287,1
17,1,0,5,17,136,3,2,17,2.0,17,0.0,0,0.0,0.21008404,0,0,0.0,1,1.0,1
6,2,0,6,9,13,4,4,5,0.8,28,1.0,0,0.90909094,0.4,0,0,3.5,1,0.5,0
5,2,0,9,10,10,5,6,5,2.0,39,0.0,0,0.90909094,0.4,1,2,6.8,1,0.6,0
2,1,0,1,10,1,0,1,2,2.0,42,0.0,0,0.0,0.75,0,0,20.0,4,2.0,0
