wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
2,3,0,0,3,1,0,0,2,2.0,374,0.0,0,0.974359,1.0,0,0,186.0,1,0.5,3
13,1,0,5,49,64,3,2,0,0.9166667,699,0.8333333,0,0.0,0.3125,0,0,52.307693,16,2.4615386,1
8,2,0,4,28,6,2,2,8,0.7619048,471,0.0,0,0.7083333,0.4375,1,1,57.125,2,1.0,1
1,1,0,2,1,0,2,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1
4,3,0,1,15,6,0,1,3,1.3333334,4270,0.0,0,0.9268293,0.33333334,0,0,1005.75,2,1.0,2
27,3,0,6,51,0,4,3,27,0.71794873,168,0.33333334,1,0.8828829,0.24691358,2,5,5.111111,2,1.0,1
14,1,0,3,21,31,3,0,12,0.71794873,344,1.0,0,0.0,0.51282054,0,0,23.142857,3,0.85714287,1
2,1,0,1,5,0,1,1,1,0.33333334,33,1.0,1,0.0,0.625,0,0,14.0,2,1.0,0
6,2,0,1,10,3,1,1,5,0.7,40,1.0,1,0.7222222,0.33333334,1,2,5.3333335,1,0.8333333,0
2,4,0,10,12,1,0,10,2,2.0,39,0.0,0,0.9896907,0.6,2,4,18.5,2,1.0,1
7,3,0,24,41,0,0,24,6,0.083333336,276,1.0,1,0.9220779,0.30612245,2,9,38.142857,3,1.5714285,3
2,4,0,5,5,1,0,5,2,2.0,16,0.0,0,0.97959185,0.75,1,6,6.5,1,0.5,1
2,6,0,5,12,1,0,5,2,2.0,71,0.0,0,0.9846154,0.75,1,6,34.0,1,0.5,1
13,1,0,3,49,64,1,2,0,0.9166667,699,0.8333333,0,0.0,0.3125,0,0,52.307693,16,2.4615386,1
4,3,0,1,15,6,0,1,3,1.3333334,4270,0.0,0,0.9268293,0.33333334,0,0,1005.75,2,1.0,2
4,2,0,17,7,0,1,16,4,0.16666667,93,1.0,0,0.8,0.4,0,0,21.75,12,4.0,1
3,2,2,3,7,0,2,1,2,0.5,32,1.0,0,0.75,0.6666667,0,0,9.0,1,0.6666667,1
14,2,0,10,29,0,8,2,14,0.26923078,332,1.0,1,0.78571427,0.4107143,1,1,22.571428,6,1.6428572,1
2,1,0,1,5,1,1,1,1,1.0,18,1.0,1,0.0,0.75,0,0,7.5,1,0.5,0
42,1,0,10,90,335,6,5,39,0.66791743,877,0.9230769,1,0.0,0.12539683,0,0,19.571428,6,1.2857143,1
4,3,0,1,15,6,0,1,3,1.3333334,2120,0.0,0,0.9268293,0.33333334,0,0,495.5,2,1.0,2
2,3,0,0,3,1,0,0,2,2.0,1243,0.0,0,0.974359,1.0,0,0,620.5,1,0.5,2
1,3,0,4,2,0,2,2,1,2.0,7,0.0,0,1.0,1.0,0,0,5.0,0,0.0,1
4,3,0,1,15,6,0,1,3,1.3333334,1166,0.0,0,0.9268293,0.33333334,0,0,271.25,2,1.0,2
7,2,0,13,20,0,1,12,7,0.5833333,75,0.5,1,0.5,0.25974026,0,0,9.428572,1,0.71428573,1
3,3,0,4,13,0,1,4,3,0.25,93,1.0,1,0.88235295,0.6666667,2,4,29.333334,5,3.0,0
6,6,1,4,13,0,2,3,4,0.0,101,1.0,1,0.82608694,0.5416667,2,2,15.666667,3,1.3333334,0
3,4,0,10,16,0,2,8,3,0.75,93,0.5,1,0.96,0.5555556,2,7,29.333334,1,0.6666667,1
4,3,0,1,15,6,0,1,3,1.3333334,1166,0.0,0,0.9268293,0.33333334,0,0,271.25,2,1.0,2
2,4,0,3,7,0,1,2,2,0.0,74,1.0,1,0.9444444,0.6666667,3,4,35.0,8,4.0,0
4,3,0,1,15,6,0,1,3,1.3333334,1166,0.0,0,0.9268293,0.33333334,0,0,271.25,2,1.0,2
8,2,0,2,19,0,1,1,8,0.6571429,183,1.0,0,0.9326923,0.35,0,0,21.25,5,1.625,1
2,5,0,3,3,1,3,0,2,2.0,13,0.0,0,1.0,0.8333333,0,0,5.0,0,0.0,1
2,1,0,1,4,0,1,1,1,0.5,17,1.0,1,0.0,0.6666667,0,0,6.5,1,0.5,0
18,1,0,0,20,3,0,0,10,0.32941177,830,1.0,0,0.0,0.6851852,0,0,44.833332,8,3.1111112,1
5,1,0,6,16,4,1,6,5,0.25,84,1.0,0,0.0,0.4,0,0,15.6,2,0.8,1
4,3,1,6,14,0,2,4,4,0.5,112,1.0,1,0.8333333,0.5,2,5,26.5,7,2.75,0
2,2,0,2,6,0,1,1,2,0.0,26,1.0,0,0.5,0.6666667,0,0,11.5,2,1.0,0
2,1,0,1,4,0,1,1,1,0.5,17,1.0,1,0.0,0.6666667,0,0,6.5,1,0.5,0
4,3,0,1,15,6,0,1,3,1.3333334,2120,0.0,0,0.9268293,0.33333334,0,0,495.5,2,1.0,2
2,3,0,2,3,0,2,0,0,1.0,14,0.5,0,0.9444444,0.6666667,0,0,5.0,1,0.5,0
9,3,0,57,49,0,34,24,8,0.5833333,536,1.0,2,0.9102564,0.3125,2,8,58.22222,5,1.3333334,1
44,1,0,14,94,830,4,10,1,0.9670092,2030,0.1627907,2,0.0,0.32816538,0,0,44.159092,19,1.5227273,1
10,1,0,8,54,17,1,8,4,0.654321,423,1.0,1,0.0,0.275,0,0,40.4,9,2.2,1
2,1,0,1,4,0,1,1,1,0.5,29,1.0,1,0.0,0.6666667,0,0,12.5,2,1.0,0
3,3,0,3,11,0,1,3,3,0.0,58,1.0,1,0.88235295,0.5555556,2,4,18.0,3,1.6666666,0
7,3,4,9,15,0,4,6,6,0.6666667,122,0.5,1,0.97029704,0.42857143,0,0,16.142857,2,1.0,2
2,4,0,2,4,1,0,2,2,2.0,315,0.0,0,0.97619045,1.0,0,0,156.5,1,0.5,1
1,3,2,3,2,0,3,0,1,2.0,6,0.0,0,1.0,1.0,0,0,4.0,0,0.0,1
13,2,0,6,31,14,0,6,12,0.5833333,268,1.0,4,0.5416667,0.30769232,1,8,19.076923,3,1.4615384,1
3,5,0,7,10,3,1,6,2,1.5,41,0.0,0,0.9906977,0.5833333,2,4,12.333333,1,0.6666667,1
4,1,0,1,6,0,1,1,3,0.6666667,42,1.0,1,0.0,0.5,0,0,8.75,2,1.0,0
7,2,0,8,11,19,4,6,6,0.8333333,39,1.0,1,0.44444445,0.33333334,0,0,4.428571,1,0.71428573,1
