wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
27,4,0,2,35,351,0,2,27,2.0,171,0.0,0,0.78333336,0.37962964,0,0,5.3333335,3,1.1111112,2
14,4,1,4,19,79,3,2,14,0.94505495,133,0.85714287,0,0.8586956,0.39285713,2,6,8.0,2,1.7142857,7
3,3,0,0,4,1,0,0,2,0.5,923,0.0,0,0.974359,1.0,0,0,306.33334,1,0.33333334,0
2,1,0,26,5,1,25,1,1,1.5561798,500,0.0,1,0.0,1.0,0,0,160.0,0,0.0,2
8,1,0,2,8,28,1,1,8,2.0,8,0.0,0,0.0,0.75,0,0,0.0,1,1.0,1
26,1,0,0,26,325,0,0,26,2.0,26,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0
13,1,0,0,30,4,0,0,11,0.73333335,238,0.8,2,0.0,0.375,0,0,16.923077,4,1.4615384,0
8,1,0,2,8,28,1,1,8,1.1428572,10,0.0,0,0.0,0.5,0,0,0.0,1,1.0,1
1,1,0,1,2,0,1,1,0,2.0,9,0.5,1,0.0,1.0,0,0,6.0,0,0.0,0
3,1,0,2,4,1,2,0,3,0.5,29,0.0,0,0.0,0.6666667,0,0,7.6666665,1,0.6666667,1
2,2,0,9,14,1,1,9,0,2.0,109,0.0,0,0.90909094,0.5833333,1,1,53.5,6,3.0,8
3,3,0,1,5,3,1,0,0,2.0,13,0.0,0,0.9375,0.6666667,0,0,3.3333333,1,0.33333334,0
8,4,0,6,26,20,2,4,2,0.71428573,1028,1.0,0,0.9324324,0.31746033,1,10,127.25,9,2.625,1
11,1,0,5,37,0,0,5,11,0.71666664,332,1.0,3,0.0,0.3181818,0,0,28.636364,1,0.90909094,2
3,4,0,2,6,3,0,2,3,2.0,17,0.0,0,0.9791667,0.5,0,0,4.6666665,1,0.6666667,2
3,1,0,0,14,3,0,0,2,2.0,102,0.0,0,0.0,0.33333334,0,0,33.0,1,0.6666667,1
3,2,0,3,12,1,1,2,3,0.0,159,0.0,1,0.75,0.8888889,0,0,51.0,9,3.0,0
23,4,0,5,41,253,0,5,23,0.95454544,183,1.0,1,0.8103448,0.24637681,1,1,6.9130435,3,1.2173913,3
3,1,0,0,3,3,0,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
8,1,0,3,8,28,2,1,8,2.0,8,0.0,0,0.0,0.46875,0,0,0.0,1,1.0,1
9,1,7,12,11,20,11,1,6,0.825,77,1.0,3,0.0,0.5185185,0,0,7.0,2,1.1111112,2
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,1
6,2,0,6,13,15,1,5,6,2.0,39,0.0,0,0.42857143,0.33333334,0,0,5.5,1,0.6666667,1
8,1,0,1,14,0,0,1,5,1.0952381,318,0.09803922,0,0.0,0.14285715,0,0,32.375,2,1.375,16
3,1,0,6,10,0,3,3,3,0.8,66,0.0,3,0.0,0.44444445,0,0,17.666666,1,0.6666667,1
6,1,0,7,12,15,2,5,6,2.0,29,0.0,0,0.0,1.0,0,0,3.8333333,1,0.8333333,2
21,4,0,3,28,210,0,3,21,2.0,118,0.0,0,0.8039216,0.31428573,1,7,4.6190476,1,0.95238096,2
11,1,0,5,11,55,2,3,11,1.1,16,0.0,0,0.0,0.3272727,0,0,0.0,1,1.0,1
2,3,0,0,4,1,0,0,2,2.0,9,0.0,0,1.0,0.75,0,0,3.5,0,0.0,0
3,4,0,6,11,3,2,4,2,2.0,53,0.0,0,0.98571426,0.42857143,1,7,16.666666,1,0.33333334,1
3,2,0,3,6,0,1,2,3,0.0,36,1.0,1,0.8,0.6666667,0,0,10.666667,3,1.6666666,0
18,2,2,9,33,151,2,7,3,0.95098037,1365,1.0,0,0.4074074,0.2361111,1,1,74.5,2,0.9444444,1
7,1,0,22,7,21,22,0,7,2.0,7,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
11,2,0,7,15,43,6,1,11,0.75,177,0.5,0,0.54545456,0.33333334,1,9,14.909091,2,0.6363636,1
7,2,0,19,40,9,4,16,0,0.6111111,953,1.0,1,0.625,0.30952382,0,0,134.71428,67,11.857142,10
4,1,0,6,6,0,5,1,4,0.9649123,142,0.0,1,0.0,0.35714287,0,0,29.75,3,1.75,1
4,1,0,2,4,6,1,1,4,2.0,4,0.0,0,0.0,0.75,0,0,0.0,1,1.0,1
4,3,0,6,16,0,1,6,1,0.6666667,84,0.5,0,0.94,0.5,2,7,19.5,2,1.0,1
15,4,0,3,20,105,0,3,15,2.0,84,0.0,0,0.8541667,0.4,1,4,4.6,1,0.93333334,2
5,4,0,2,10,10,0,2,5,2.0,28,0.0,0,0.9591837,0.45,0,0,4.6,1,0.8,2
22,1,1,8,49,41,6,2,9,0.8435374,596,0.85714287,1,0.0,0.22727273,0,0,25.772728,11,2.4545455,8
10,1,0,4,10,45,0,4,10,2.0,10,0.0,0,0.0,0.5,0,0,0.0,1,1.0,1
11,1,1,2,13,35,2,0,11,0.9,87,0.1,2,0.0,0.3939394,0,0,6.0,1,0.90909094,1
7,4,0,3,10,21,0,3,7,2.0,39,0.0,0,0.9318182,0.5714286,1,6,4.571429,1,0.85714287,2
6,3,1,3,21,3,2,2,4,0.9,196,0.5,0,0.94736844,0.6111111,3,3,31.0,3,1.3333334,17
11,1,0,0,11,55,0,0,11,2.0,11,0.0,0,0.0,0.5151515,0,0,0.0,1,1.0,0
9,3,3,11,19,16,6,5,5,0.5,283,1.0,0,0.76666665,0.26984128,3,8,30.333334,3,1.2222222,1
1,1,0,2,3,0,1,1,0,2.0,14,0.0,1,0.0,1.0,0,0,8.0,0,0.0,0
36,1,0,0,69,246,0,0,35,0.8047619,436,1.0,6,0.0,0.12592593,0,0,10.944445,2,1.1388888,0
27,1,0,5,32,0,2,3,27,0.46153846,530,1.0,1,0.0,0.42962962,0,0,18.518518,8,2.4074075,2
78,4,1,42,166,2643,39,21,49,0.9448052,1258,0.8333333,3,0.5197368,0.12905844,2,19,14.974359,9,1.3333334,36
34,1,0,0,34,561,0,0,34,2.0,34,0.0,0,0.0,0.28235295,0,0,0.0,1,1.0,0
