project,none,znorm,qrs,qrs_box,journal
syn1_2,0.756,0.761,0.762,0.766,0.76
AEEEM_EQ,0.684,0.771,0.778,0.79,0.796
log1_0,0.8,0.841,0.849,0.869,0.876
jira_jru,0.823,0.855,0.852,0.894,0.903
jedit4_0,0.768,0.775,0.778,0.8,0.791
AEEEM_PDE,0.716,0.714,0.712,0.725,0.729
AEEEM_ML,0.574,0.591,0.614,0.612,0.613
jira_hiv,0.664,0.765,0.775,0.775,0.8
vel1_6,0.695,0.7,0.702,0.699,0.711
tom6_0,0.813,0.813,0.816,0.828,0.827
ant1_7,0.821,0.824,0.824,0.823,0.825
xal2_4,0.763,0.762,0.771,0.788,0.787
camel1_4,0.646,0.659,0.673,0.686,0.7
jira_wic,0.77,0.82,0.817,0.82,0.84
jira_der,0.431,0.765,0.776,0.759,0.787
luc2_4,0.72,0.717,0.74,0.762,0.761
poi2_0,0.682,0.66,0.673,0.683,0.672
xer1_3,0.766,0.727,0.724,0.749,0.736
jira_hba,0.707,0.819,0.82,0.838,0.823
ivy2_0,0.811,0.817,0.824,0.827,0.82
AEEEM_LC,0.686,0.746,0.748,0.788,0.797
jira_act,0.769,0.749,0.755,0.818,0.819
AEEEM_JDT,0.815,0.777,0.788,0.79,0.8
jira_gro,0.76,0.826,0.829,0.826,0.827
,0.727,0.761,0.767,0.780,0.783
