project,none,znorm,qrs,qrs_box,journal
syn1_2,0.668,0.659,0.668,0.661,0.666
AEEEM_EQ,0.662,0.567,0.582,0.57,0.585
log1_0,0.685,0.583,0.641,0.685,0.713
jira_jru,0.751,0.795,0.788,0.774,0.778
jedit4_0,0.727,0.711,0.713,0.718,0.707
AEEEM_PDE,0.655,0.66,0.647,0.648,0.647
AEEEM_ML,0.519,0.46,0.515,0.507,0.509
jira_hiv,0.518,0.437,0.45,0.53,0.538
vel1_6,0.576,0.589,0.596,0.604,0.623
tom6_0,0.748,0.742,0.742,0.739,0.738
ant1_7,0.742,0.757,0.744,0.722,0.723
xal2_4,0.7,0.705,0.7,0.726,0.716
camel1_4,0.549,0.567,0.581,0.623,0.639
jira_wic,0.706,0.718,0.696,0.724,0.749
jira_der,0.355,0.415,0.434,0.482,0.503
luc2_4,0.587,0.565,0.586,0.585,0.598
poi2_0,0.604,0.623,0.625,0.587,0.592
xer1_3,0.564,0.579,0.58,0.572,0.573
jira_hba,0.652,0.765,0.764,0.693,0.688
ivy2_0,0.723,0.734,0.74,0.719,0.719
AEEEM_LC,0.614,0.716,0.687,0.653,0.645
jira_act,0.69,0.674,0.678,0.747,0.753
AEEEM_JDT,0.509,0.526,0.524,0.647,0.636
jira_gro,0.668,0.666,0.673,0.685,0.676
,0.632,0.634,0.640,0.650,0.655
