project,none,znorm,qrs,qrs_box,journal
syn1_2,0.339,0.327,0.334,0.312,0.32
AEEEM_EQ,0.389,0.461,0.464,0.429,0.415
log1_0,0.534,0.676,0.676,0.698,0.676
jira_jru,0.565,0.624,0.614,0.587,0.601
jedit4_0,0.515,0.505,0.464,0.442,0.422
AEEEM_PDE,0.391,0.497,0.432,0.489,0.515
AEEEM_ML,0.067,-0.03,0.087,0.074,0.059
jira_hiv,0.576,0.683,0.696,0.633,0.633
vel1_6,0.349,0.387,0.382,0.361,0.371
tom6_0,0.573,0.585,0.567,0.609,0.615
ant1_7,0.512,0.535,0.494,0.446,0.449
xal2_4,0.462,0.476,0.455,0.498,0.478
camel1_4,0.386,0.382,0.407,0.413,0.452
jira_wic,0.515,0.527,0.489,0.535,0.577
jira_der,0.359,0.762,0.758,0.757,0.734
luc2_4,0.419,0.456,0.449,0.436,0.438
poi2_0,0.288,0.368,0.37,0.251,0.277
xer1_3,0.505,0.58,0.536,0.516,0.515
jira_hba,0.407,0.517,0.518,0.421,0.414
ivy2_0,0.513,0.528,0.537,0.503,0.505
AEEEM_LC,0.573,0.595,0.618,0.577,0.666
jira_act,0.597,0.529,0.542,0.576,0.576
AEEEM_JDT,0.211,0.22,0.219,0.349,0.332
jira_gro,0.661,0.713,0.71,0.692,0.686
,0.446,0.496,0.492,0.484,0.489
