project,none,znorm,qrs,qrs_box,journal
syn1_2,0.0,0.0,0.013,0.006,0.011
AEEEM_EQ,0.0,0.0,0.015,0.014,0.013
log1_0,0.0,0.0,0.019,0.012,0.012
jira_jru,0.0,0.0,0.008,0.027,0.003
jedit4_0,0.0,0.0,0.016,0.011,0.017
AEEEM_PDE,0.0,0.0,0.032,0.022,0.01
AEEEM_ML,0.0,0.0,0.074,0.102,0.029
jira_hiv,0.0,0.0,0.011,0.029,0.003
vel1_6,0.0,0.0,0.013,0.01,0.009
tom6_0,0.0,0.0,0.013,0.01,0.013
ant1_7,0.0,0.0,0.013,0.007,0.013
xal2_4,0.0,0.0,0.01,0.009,0.014
camel1_4,0.0,0.0,0.017,0.035,0.014
jira_wic,0.0,0.0,0.032,0.016,0.019
jira_der,0.0,0.0,0.015,0.012,0.002
luc2_4,0.0,0.0,0.012,0.01,0.006
poi2_0,0.0,0.0,0.023,0.048,0.065
xer1_3,0.0,0.0,0.011,0.01,0.01
jira_hba,0.0,0.0,0.011,0.031,0.006
ivy2_0,0.0,0.0,0.011,0.006,0.008
AEEEM_LC,0.0,0.0,0.015,0.026,0.03
jira_act,0.0,0.0,0.02,0.055,0.009
AEEEM_JDT,0.0,0.0,0.029,0.028,0.006
jira_gro,0.0,0.0,0.008,0.014,0.004
