project,none,znorm,qrs,qrs_box,journal
syn1_2,0.563,0.553,0.566,0.565,0.57
AEEEM_EQ,0.606,0.515,0.534,0.51,0.525
log1_0,0.563,0.538,0.604,0.667,0.676
jira_jru,0.407,0.461,0.452,0.432,0.439
jedit4_0,0.58,0.563,0.552,0.555,0.542
AEEEM_PDE,0.344,0.377,0.35,0.369,0.379
AEEEM_ML,0.227,0.214,0.237,0.235,0.229
jira_hiv,0.385,0.309,0.333,0.418,0.427
vel1_6,0.476,0.496,0.503,0.508,0.529
tom6_0,0.333,0.336,0.329,0.348,0.351
ant1_7,0.564,0.584,0.561,0.538,0.54
xal2_4,0.41,0.416,0.41,0.438,0.429
camel1_4,0.323,0.332,0.347,0.373,0.393
jira_wic,0.253,0.261,0.246,0.267,0.29
jira_der,0.127,0.267,0.296,0.366,0.383
luc2_4,0.521,0.503,0.527,0.523,0.537
poi2_0,0.264,0.284,0.286,0.251,0.257
xer1_3,0.35,0.389,0.371,0.358,0.359
jira_hba,0.441,0.567,0.566,0.51,0.505
ivy2_0,0.362,0.373,0.381,0.358,0.358
AEEEM_LC,0.3,0.341,0.345,0.314,0.361
jira_act,0.469,0.425,0.434,0.492,0.491
AEEEM_JDT,0.41,0.412,0.412,0.458,0.453
jira_gro,0.347,0.384,0.384,0.374,0.366
,0.401,0.413,0.418,0.426,0.433
