project,none,znorm,qrs,qrs_box,journal
syn1_2,0.0,0.0,0.01,0.003,0.006
AEEEM_EQ,0.0,0.0,0.025,0.039,0.018
log1_0,0.0,0.0,0.032,0.02,0.025
jira_jru,0.0,0.0,0.008,0.021,0.003
jedit4_0,0.0,0.0,0.01,0.008,0.009
AEEEM_PDE,0.0,0.0,0.01,0.014,0.007
AEEEM_ML,0.0,0.0,0.015,0.022,0.005
jira_hiv,0.0,0.0,0.016,0.007,0.003
vel1_6,0.0,0.0,0.009,0.011,0.007
tom6_0,0.0,0.0,0.008,0.006,0.008
ant1_7,0.0,0.0,0.007,0.004,0.007
xal2_4,0.0,0.0,0.006,0.006,0.008
camel1_4,0.0,0.0,0.008,0.015,0.006
jira_wic,0.0,0.0,0.013,0.007,0.01
jira_der,0.0,0.0,0.036,0.011,0.004
luc2_4,0.0,0.0,0.01,0.009,0.015
poi2_0,0.0,0.0,0.01,0.013,0.017
xer1_3,0.0,0.0,0.007,0.007,0.006
jira_hba,0.0,0.0,0.008,0.018,0.003
ivy2_0,0.0,0.0,0.007,0.003,0.005
AEEEM_LC,0.0,0.0,0.013,0.013,0.016
jira_act,0.0,0.0,0.011,0.034,0.006
AEEEM_JDT,0.0,0.0,0.012,0.009,0.003
jira_gro,0.0,0.0,0.009,0.012,0.004
