project,none,znorm,qrs,qrs_box,journal
syn1_2,0.668,0.659,0.669,0.663,0.668
AEEEM_EQ,0.673,0.599,0.614,0.596,0.609
log1_0,0.699,0.629,0.685,0.732,0.751
jira_jru,0.753,0.8,0.792,0.782,0.782
jedit4_0,0.73,0.715,0.713,0.72,0.708
AEEEM_PDE,0.656,0.665,0.649,0.654,0.656
AEEEM_ML,0.519,0.457,0.515,0.507,0.51
jira_hiv,0.544,0.446,0.465,0.561,0.57
vel1_6,0.589,0.605,0.611,0.615,0.633
tom6_0,0.752,0.742,0.744,0.74,0.739
ant1_7,0.742,0.757,0.745,0.729,0.73
xal2_4,0.702,0.706,0.704,0.73,0.723
camel1_4,0.561,0.576,0.59,0.628,0.645
jira_wic,0.708,0.724,0.71,0.735,0.762
jira_der,0.29,0.411,0.44,0.509,0.534
luc2_4,0.61,0.594,0.614,0.611,0.623
poi2_0,0.604,0.623,0.626,0.587,0.592
xer1_3,0.582,0.604,0.6,0.59,0.591
jira_hba,0.653,0.773,0.77,0.72,0.715
ivy2_0,0.729,0.742,0.751,0.728,0.727
AEEEM_LC,0.631,0.719,0.697,0.665,0.667
jira_act,0.702,0.681,0.686,0.749,0.754
AEEEM_JDT,0.539,0.555,0.552,0.664,0.655
jira_gro,0.686,0.691,0.697,0.704,0.696
,0.638,0.645,0.652,0.663,0.668
