project,none,znorm,qrs,qrs_box,journal
syn1_2,0.315,0.299,0.318,0.308,0.317
AEEEM_EQ,0.377,0.362,0.378,0.334,0.334
log1_0,0.409,0.475,0.53,0.603,0.594
jira_jru,0.347,0.418,0.406,0.388,0.39
jedit4_0,0.424,0.402,0.381,0.384,0.364
AEEEM_PDE,0.22,0.258,0.223,0.247,0.259
AEEEM_ML,0.031,-0.017,0.044,0.036,0.029
jira_hiv,0.272,0.284,0.309,0.326,0.331
vel1_6,0.242,0.279,0.281,0.272,0.295
tom6_0,0.305,0.299,0.296,0.306,0.308
ant1_7,0.42,0.449,0.42,0.39,0.392
xal2_4,0.298,0.305,0.302,0.341,0.331
camel1_4,0.16,0.167,0.187,0.215,0.245
jira_wic,0.228,0.245,0.233,0.259,0.291
jira_der,0.056,0.269,0.286,0.334,0.329
luc2_4,0.327,0.341,0.354,0.34,0.353
poi2_0,0.137,0.165,0.168,0.114,0.122
xer1_3,0.217,0.271,0.244,0.227,0.227
jira_hba,0.262,0.454,0.45,0.386,0.378
ivy2_0,0.302,0.32,0.333,0.302,0.299
AEEEM_LC,0.219,0.287,0.283,0.242,0.292
jira_act,0.358,0.302,0.313,0.395,0.396
AEEEM_JDT,0.232,0.231,0.231,0.295,0.289
jira_gro,0.287,0.326,0.327,0.319,0.309
,0.269,0.300,0.304,0.307,0.311
