project,none,znorm,qrs,qrs_box,journal
syn1_2,0.0,0.0,0.016,0.005,0.01
AEEEM_EQ,0.0,0.0,0.024,0.029,0.017
log1_0,0.0,0.0,0.037,0.025,0.031
jira_jru,0.0,0.0,0.012,0.023,0.005
jedit4_0,0.0,0.0,0.015,0.013,0.015
AEEEM_PDE,0.0,0.0,0.013,0.019,0.009
AEEEM_ML,0.0,0.0,0.035,0.047,0.014
jira_hiv,0.0,0.0,0.012,0.021,0.003
vel1_6,0.0,0.0,0.013,0.013,0.009
tom6_0,0.0,0.0,0.009,0.006,0.009
ant1_7,0.0,0.0,0.01,0.005,0.01
xal2_4,0.0,0.0,0.009,0.008,0.01
camel1_4,0.0,0.0,0.011,0.022,0.009
jira_wic,0.0,0.0,0.014,0.008,0.01
jira_der,0.0,0.0,0.023,0.007,0.003
luc2_4,0.0,0.0,0.012,0.01,0.014
poi2_0,0.0,0.0,0.015,0.023,0.028
xer1_3,0.0,0.0,0.009,0.008,0.008
jira_hba,0.0,0.0,0.01,0.024,0.005
ivy2_0,0.0,0.0,0.01,0.004,0.007
AEEEM_LC,0.0,0.0,0.019,0.016,0.017
jira_act,0.0,0.0,0.015,0.039,0.006
AEEEM_JDT,0.0,0.0,0.021,0.012,0.005
jira_gro,0.0,0.0,0.01,0.012,0.005
