project,none,znorm,qrs,qrs_box,journal
syn1_2,0.674,0.663,0.691,0.72,0.722
AEEEM_EQ,0.566,0.395,0.417,0.404,0.428
log1_0,0.588,0.412,0.494,0.557,0.598
jira_jru,0.793,0.851,0.844,0.856,0.831
jedit4_0,0.68,0.653,0.695,0.753,0.75
AEEEM_PDE,0.689,0.589,0.607,0.57,0.553
AEEEM_ML,0.584,0.661,0.653,0.648,0.63
jira_hiv,0.325,0.205,0.223,0.339,0.351
vel1_6,0.436,0.449,0.463,0.485,0.517
tom6_0,0.805,0.753,0.788,0.718,0.711
ant1_7,0.735,0.747,0.774,0.812,0.812
xal2_4,0.745,0.736,0.772,0.792,0.808
camel1_4,0.4,0.434,0.455,0.543,0.559
jira_wic,0.754,0.8,0.834,0.836,0.861
jira_der,0.089,0.172,0.2,0.268,0.299
luc2_4,0.433,0.394,0.427,0.428,0.447
poi2_0,0.649,0.595,0.601,0.616,0.596
xer1_3,0.406,0.42,0.428,0.416,0.418
jira_hba,0.606,0.849,0.836,0.898,0.894
ivy2_0,0.8,0.825,0.844,0.825,0.812
AEEEM_LC,0.484,0.672,0.603,0.555,0.519
jira_act,0.597,0.597,0.6,0.736,0.745
AEEEM_JDT,0.942,0.922,0.924,0.825,0.845
jira_gro,0.557,0.543,0.554,0.578,0.564
