project,none,znorm,qrs,qrs_box,journal
syn1_2,0.0,0.0,0.024,0.007,0.014
AEEEM_EQ,0.0,0.0,0.029,0.047,0.023
log1_0,0.0,0.0,0.038,0.025,0.029
jira_jru,0.0,0.0,0.018,0.009,0.008
jedit4_0,0.0,0.0,0.015,0.02,0.015
AEEEM_PDE,0.0,0.0,0.038,0.052,0.025
AEEEM_ML,0.0,0.0,0.022,0.031,0.01
jira_hiv,0.0,0.0,0.016,0.012,0.003
vel1_6,0.0,0.0,0.012,0.016,0.012
tom6_0,0.0,0.0,0.015,0.009,0.015
ant1_7,0.0,0.0,0.012,0.008,0.011
xal2_4,0.0,0.0,0.015,0.01,0.011
camel1_4,0.0,0.0,0.021,0.013,0.016
jira_wic,0.0,0.0,0.023,0.016,0.016
jira_der,0.0,0.0,0.034,0.017,0.004
luc2_4,0.0,0.0,0.013,0.014,0.02
poi2_0,0.0,0.0,0.021,0.018,0.02
xer1_3,0.0,0.0,0.01,0.012,0.009
jira_hba,0.0,0.0,0.012,0.01,0.003
ivy2_0,0.0,0.0,0.012,0.0,0.012
AEEEM_LC,0.0,0.0,0.055,0.037,0.036
jira_act,0.0,0.0,0.031,0.025,0.011
AEEEM_JDT,0.0,0.0,0.014,0.044,0.009
jira_gro,0.0,0.0,0.011,0.011,0.007
