project,none,znorm,qrs,qrs_box,journal
syn1_2,0.339,0.344,0.351,0.39,0.382
AEEEM_EQ,0.2,0.092,0.096,0.116,0.133
log1_0,0.168,0.04,0.048,0.038,0.057
jira_jru,0.284,0.248,0.256,0.286,0.264
jedit4_0,0.216,0.216,0.268,0.312,0.33
AEEEM_PDE,0.376,0.248,0.303,0.246,0.222
AEEEM_ML,0.539,0.684,0.589,0.596,0.587
jira_hiv,0.091,0.03,0.029,0.071,0.073
vel1_6,0.205,0.185,0.195,0.219,0.226
tom6_0,0.298,0.269,0.297,0.237,0.231
ant1_7,0.25,0.233,0.282,0.346,0.343
xal2_4,0.339,0.323,0.358,0.327,0.352
camel1_4,0.215,0.235,0.233,0.274,0.256
jira_wic,0.334,0.345,0.395,0.353,0.325
jira_der,0.052,0.019,0.024,0.032,0.043
luc2_4,0.141,0.105,0.118,0.128,0.132
poi2_0,0.437,0.347,0.348,0.44,0.41
xer1_3,0.164,0.133,0.157,0.163,0.164
jira_hba,0.295,0.296,0.291,0.422,0.428
ivy2_0,0.337,0.333,0.332,0.357,0.349
AEEEM_LC,0.179,0.231,0.193,0.202,0.139
jira_act,0.175,0.223,0.215,0.236,0.237
AEEEM_JDT,0.692,0.666,0.669,0.463,0.491
jira_gro,0.154,0.12,0.124,0.141,0.141
