project,none,znorm,qrs,qrs_box,journal
syn1_2,0.0,0.0,0.018,0.008,0.016
AEEEM_EQ,0.0,0.0,0.013,0.016,0.012
log1_0,0.0,0.0,0.013,0.01,0.009
jira_jru,0.0,0.0,0.006,0.027,0.003
jedit4_0,0.0,0.0,0.017,0.014,0.02
AEEEM_PDE,0.0,0.0,0.04,0.029,0.013
AEEEM_ML,0.0,0.0,0.072,0.096,0.027
jira_hiv,0.0,0.0,0.004,0.014,0.001
vel1_6,0.0,0.0,0.009,0.007,0.009
tom6_0,0.0,0.0,0.013,0.01,0.014
ant1_7,0.0,0.0,0.016,0.009,0.016
xal2_4,0.0,0.0,0.01,0.01,0.016
camel1_4,0.0,0.0,0.014,0.024,0.014
jira_wic,0.0,0.0,0.037,0.019,0.022
jira_der,0.0,0.0,0.006,0.006,0.001
luc2_4,0.0,0.0,0.01,0.009,0.005
poi2_0,0.0,0.0,0.011,0.031,0.052
xer1_3,0.0,0.0,0.006,0.006,0.004
jira_hba,0.0,0.0,0.013,0.039,0.007
ivy2_0,0.0,0.0,0.011,0.005,0.008
AEEEM_LC,0.0,0.0,0.021,0.024,0.028
jira_act,0.0,0.0,0.021,0.057,0.011
AEEEM_JDT,0.0,0.0,0.04,0.05,0.01
jira_gro,0.0,0.0,0.004,0.01,0.002
