project,none,znorm,qrs,qrs_box,journal
syn1_2,0.379,0.385,0.378,0.382,0.379
AEEEM_EQ,0.432,0.468,0.46,0.471,0.467
log1_0,0.293,0.289,0.271,0.252,0.249
jira_jru,0.209,0.187,0.191,0.202,0.196
jedit4_0,0.283,0.289,0.298,0.301,0.309
AEEEM_PDE,0.275,0.234,0.255,0.236,0.228
AEEEM_ML,0.354,0.407,0.367,0.371,0.369
jira_hiv,0.271,0.271,0.267,0.26,0.259
vel1_6,0.43,0.419,0.417,0.418,0.409
tom6_0,0.198,0.189,0.199,0.178,0.176
ant1_7,0.268,0.258,0.271,0.288,0.287
xal2_4,0.259,0.253,0.262,0.246,0.255
camel1_4,0.272,0.275,0.271,0.273,0.263
jira_wic,0.21,0.211,0.232,0.212,0.198
jira_der,0.222,0.196,0.194,0.188,0.189
luc2_4,0.448,0.451,0.443,0.446,0.44
poi2_0,0.293,0.26,0.26,0.298,0.287
xer1_3,0.236,0.221,0.23,0.234,0.234
jira_hba,0.301,0.252,0.252,0.291,0.295
ivy2_0,0.229,0.224,0.222,0.235,0.233
AEEEM_LC,0.175,0.182,0.17,0.179,0.154
jira_act,0.214,0.235,0.231,0.218,0.218
AEEEM_JDT,0.39,0.384,0.384,0.323,0.33
jira_gro,0.151,0.136,0.137,0.143,0.144
,0.283,0.278,0.278,0.277,0.274
