project,none,znorm,qrs,qrs_box,journal
syn1_2,0.0,0.0,0.006,0.002,0.004
AEEEM_EQ,0.0,0.0,0.01,0.015,0.007
log1_0,0.0,0.0,0.009,0.006,0.008
jira_jru,0.0,0.0,0.003,0.012,0.001
jedit4_0,0.0,0.0,0.005,0.004,0.006
AEEEM_PDE,0.0,0.0,0.012,0.007,0.003
AEEEM_ML,0.0,0.0,0.028,0.038,0.011
jira_hiv,0.0,0.0,0.002,0.004,0.001
vel1_6,0.0,0.0,0.004,0.005,0.003
tom6_0,0.0,0.0,0.005,0.004,0.005
ant1_7,0.0,0.0,0.004,0.002,0.005
xal2_4,0.0,0.0,0.004,0.004,0.006
camel1_4,0.0,0.0,0.004,0.01,0.004
jira_wic,0.0,0.0,0.016,0.008,0.009
jira_der,0.0,0.0,0.003,0.001,0.0
luc2_4,0.0,0.0,0.004,0.004,0.006
poi2_0,0.0,0.0,0.005,0.014,0.022
xer1_3,0.0,0.0,0.002,0.002,0.002
jira_hba,0.0,0.0,0.004,0.014,0.003
ivy2_0,0.0,0.0,0.004,0.002,0.003
AEEEM_LC,0.0,0.0,0.006,0.008,0.01
jira_act,0.0,0.0,0.006,0.021,0.003
AEEEM_JDT,0.0,0.0,0.014,0.011,0.003
jira_gro,0.0,0.0,0.002,0.004,0.001
