Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost
ant1_7,0.761522775,0.385542169,0.086355786,0.593505157,0.457142857,0.561242807,0.345834283,0.603104027,0.563758389
ant1_7,0.771817841,0.403614458,0.088082902,0.606681898,0.471830986,0.573717047,0.359634503,0.607572874,0.55704698
ant1_7,0.762490376,0.361445783,0.081174439,0.576286061,0.43956044,0.54484026,0.332559834,0.602639821,0.570469799
ant1_7,0.758406684,0.36746988,0.094991364,0.576683114,0.432624113,0.547718167,0.312731244,0.576279019,0.57852349
ant1_7,0.754375013,0.391566265,0.101899827,0.593014106,0.448275862,0.563780339,0.323619634,0.574930305,0.573154362
ant1_7,0.758297438,0.379518072,0.079447323,0.591072227,0.458181818,0.557671107,0.353325662,0.614488122,0.561073826
ant1_7,0.766828974,0.373493976,0.069084629,0.589653528,0.462686567,0.554308131,0.368506996,0.633427149,0.555704698
ant1_7,0.760243045,0.373493976,0.07253886,0.588558535,0.459259259,0.55403381,0.361367733,0.626239446,0.558389262
ant1_7,0.743949893,0.391566265,0.088082902,0.597558342,0.460992908,0.565287332,0.348316379,0.602354156,0.562416107
ant1_7,0.752210916,0.385542169,0.079447323,0.595744807,0.463768116,0.561895958,0.359059265,0.617030201,0.558389262
ant1_7,0.769627734,0.397590361,0.069084629,0.608377333,0.485294118,0.571240126,0.391320786,0.642139516,0.544966443
ant1_7,0.773144391,0.427710843,0.089810017,0.623937597,0.491349481,0.590377785,0.378734468,0.61398998,0.547651007
ant1_7,0.755665148,0.421686747,0.093264249,0.618351396,0.482758621,0.585787229,0.366918478,0.605292426,0.553020134
ant1_7,0.770241588,0.385542169,0.070811744,0.598532585,0.472324723,0.562637033,0.376398095,0.634437919,0.551677852
ant1_7,0.760700834,0.355421687,0.07253886,0.574142668,0.441947566,0.541337222,0.343871583,0.618564441,0.566442953
ant1_7,0.755181347,0.373493976,0.088082902,0.58360564,0.444444444,0.552636392,0.331105493,0.593894782,0.570469799
ant1_7,0.75600849,0.403614458,0.089810017,0.606107116,0.470175439,0.573536898,0.356444373,0.60424722,0.558389262
ant1_7,0.772494122,0.391566265,0.088082902,0.597558342,0.460992908,0.565287332,0.348316379,0.602354156,0.562416107
ant1_7,0.74432965,0.409638554,0.093264249,0.60945379,0.472222222,0.577374364,0.355771039,0.600236873,0.558389262
ant1_7,0.739418815,0.355421687,0.074265976,0.573607835,0.440298507,0.541199043,0.340356981,0.614787851,0.567785235
ant1_7,0.751430593,0.361445783,0.070811744,0.579526683,0.449438202,0.545706157,0.353293935,0.6249217,0.562416107
ant1_7,0.745359677,0.331325301,0.082901554,0.551233089,0.408921933,0.523555606,0.2995024,0.582721171,0.585234899
ant1_7,0.750176873,0.391566265,0.101899827,0.593014106,0.448275862,0.563780339,0.323619634,0.574930305,0.573154362
ant1_7,0.779813555,0.409638554,0.089810017,0.610613551,0.475524476,0.577748608,0.362059465,0.606790367,0.555704698
ant1_7,0.754427035,0.34939759,0.089810017,0.563931012,0.420289855,0.535592133,0.304504713,0.577412636,0.582550336
ant1_7,0.756892856,0.373493976,0.098445596,0.580280224,0.435087719,0.55155751,0.312422116,0.572331674,0.57852349
ant1_7,0.754312587,0.36746988,0.086355786,0.579427933,0.440433213,0.548584629,0.328526061,0.594542854,0.571812081
ant1_7,0.748704663,0.361445783,0.098445596,0.570844145,0.424028269,0.543139505,0.300799168,0.565503356,0.583892617
ant1_7,0.77577148,0.403614458,0.081174439,0.608975599,0.478571429,0.574403357,0.37271353,0.620875488,0.551677852
ant1_7,0.757007304,0.361445783,0.077720207,0.57736829,0.442804428,0.545141825,0.339318216,0.610067114,0.567785235
poi2_0,0.696311835,0.243243243,0.104693141,0.466666202,0.24,0.459795667,0.136962369,0.502476999,0.388535032
poi2_0,0.676700166,0.297297297,0.083032491,0.522122555,0.309859155,0.499657376,0.222317226,0.635784598,0.356687898
poi2_0,0.673968192,0.27027027,0.079422383,0.498803329,0.289855072,0.480955978,0.203389515,0.622929936,0.359872611
poi2_0,0.658552054,0.27027027,0.111913357,0.489921848,0.256410256,0.47797027,0.151532058,0.516878981,0.388535032
poi2_0,0.657478778,0.324324324,0.068592058,0.549616459,0.352941176,0.519769592,0.276409019,0.69559448,0.337579618
poi2_0,0.672309494,0.297297297,0.075812274,0.524174125,0.31884058,0.500230759,0.236039979,0.657209033,0.350318471
poi2_0,0.709191141,0.324324324,0.075812274,0.547482018,0.342857143,0.519227122,0.261263096,0.675955414,0.343949045
poi2_0,0.66177188,0.324324324,0.075812274,0.547482018,0.342857143,0.519227122,0.261263096,0.675955414,0.343949045
