Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost
ant1_7,0.77538652,0.843373494,0.464594128,0.67197256,0.486956522,0.653316019,0.316773138,0.349050815,0.653691275
ant1_7,0.767791373,0.831325301,0.455958549,0.672514255,0.485915493,0.656234562,0.31339282,0.350919171,0.652348993
ant1_7,0.771146763,0.843373494,0.488773748,0.65662369,0.475382003,0.637073259,0.297874706,0.326768936,0.672483221
ant1_7,0.774580186,0.837349398,0.455958549,0.674946502,0.48857645,0.657689164,0.318491626,0.353985805,0.64966443
ant1_7,0.769523691,0.825301205,0.490500864,0.648452197,0.466780239,0.631821534,0.2810384,0.315279479,0.681879195
ant1_7,0.772743825,0.84939759,0.492227979,0.656734597,0.476351351,0.636015475,0.300377699,0.326802799,0.672483221
ant1_7,0.768056683,0.819277108,0.487046632,0.648267655,0.465753425,0.632661474,0.27859337,0.315159889,0.681879195
ant1_7,0.774741453,0.831325301,0.462867012,0.668230681,0.482517483,0.651648866,0.307906453,0.344460656,0.657718121
ant1_7,0.778382962,0.855421687,0.499136442,0.654560577,0.475711893,0.632549271,0.300253241,0.323697892,0.675167785
ant1_7,0.772993529,0.837349398,0.495682211,0.649838593,0.469594595,0.631112434,0.287340244,0.317116508,0.680536913
ant1_7,0.776218865,0.825301205,0.493955095,0.646250315,0.465195246,0.6295197,0.278340935,0.31202665,0.684563758
ant1_7,0.777077221,0.855421687,0.502590674,0.652299567,0.474123539,0.630202573,0.297604047,0.320559599,0.677852349
ant1_7,0.770668165,0.819277108,0.492227979,0.644985266,0.463373083,0.629224362,0.274531871,0.310244769,0.68590604
ant1_7,0.775017167,0.843373494,0.468048359,0.669801399,0.485268631,0.651000624,0.314055809,0.345867689,0.656375839
ant1_7,0.77085024,0.807228916,0.473229706,0.652092181,0.466898955,0.63867809,0.279250354,0.321566663,0.676510067
ant1_7,0.777488191,0.84939759,0.476683938,0.666710884,0.483704974,0.646511201,0.312437877,0.341025275,0.660402685
ant1_7,0.778226897,0.837349398,0.478411054,0.660872295,0.47766323,0.64269596,0.300793583,0.333146637,0.667114094
ant1_7,0.762646441,0.801204819,0.466321244,0.653900598,0.467486819,0.641548451,0.279654362,0.324842307,0.673825503
ant1_7,0.777836736,0.819277108,0.452504318,0.669739262,0.482269504,0.655456156,0.305973745,0.347927359,0.655033557
ant1_7,0.778736708,0.84939759,0.466321244,0.673279622,0.488734835,0.653491279,0.320541687,0.350506926,0.652348993
ant1_7,0.783938864,0.855421687,0.488773748,0.661297227,0.480541455,0.639581725,0.308228732,0.333112771,0.667114094
ant1_7,0.772946709,0.837349398,0.488773748,0.654274403,0.472789116,0.635750776,0.292706849,0.32352856,0.675167785
ant1_7,0.776988784,0.855421687,0.481865285,0.665750458,0.483816014,0.644263411,0.313571047,0.339389356,0.661744966
ant1_7,0.760664419,0.819277108,0.509499136,0.633921233,0.45561139,0.617736914,0.261060039,0.293861034,0.699328859
ant1_7,0.773295254,0.831325301,0.488773748,0.65191665,0.470187394,0.634383445,0.28754493,0.320241222,0.677852349
ant1_7,0.767531265,0.843373494,0.481865285,0.661045448,0.478632479,0.641722164,0.303246417,0.333135187,0.667114094
ant1_7,0.781847598,0.843373494,0.476683938,0.664342454,0.481099656,0.645204679,0.307289169,0.337909875,0.663087248
ant1_7,0.781701937,0.861445783,0.485319516,0.665859844,0.484745763,0.643116052,0.316076018,0.339334491,0.661744966
ant1_7,0.781478245,0.84939759,0.468048359,0.67218929,0.487889273,0.652328925,0.319187207,0.34892665,0.653691275
ant1_7,0.773789458,0.84939759,0.466321244,0.673279622,0.488734835,0.653491279,0.320541687,0.350506926,0.652348993
poi2_0,0.683725241,0.621621622,0.368231047,0.626674749,0.283950617,0.62666081,0.166895757,0.35959568,0.531847134
poi2_0,0.700604937,0.675675676,0.353790614,0.660778301,0.3125,0.660622581,0.21260444,0.420254777,0.506369427
poi2_0,0.698165675,0.648648649,0.357400722,0.645616878,0.3,0.645611055,0.192368673,0.396098726,0.515923567
poi2_0,0.707337301,0.675675676,0.342960289,0.666292541,0.318471338,0.666227602,0.220760894,0.434394904,0.496815287
poi2_0,0.700702508,0.594594595,0.375451264,0.609387646,0.26993865,0.609284506,0.144146734,0.325130284,0.544585987
poi2_0,0.706849449,0.675675676,0.353790614,0.660778301,0.3125,0.660622581,0.21260444,0.420254777,0.506369427
