Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost
ant1_7,0.702613563,0.686746988,0.281519862,0.702434389,0.514672686,0.702190596,0.348922539,0.458589427,0.581208054
ant1_7,0.718095179,0.722891566,0.286701209,0.71807916,0.530973451,0.718054378,0.373232993,0.468948546,0.569127517
ant1_7,0.697624696,0.825301205,0.430051813,0.685841764,0.496376812,0.671774292,0.329172586,0.372203988,0.634899329
ant1_7,0.699898038,0.759036145,0.359240069,0.697395116,0.504,0.694126655,0.334532032,0.409353361,0.609395973
ant1_7,0.706405935,0.740963855,0.328151986,0.705560128,0.513569937,0.704379085,0.348041843,0.432989578,0.593288591
ant1_7,0.699981272,0.710843373,0.310880829,0.69989699,0.50862069,0.699784707,0.339743186,0.437288136,0.593288591
ant1_7,0.689935909,0.777108434,0.397236615,0.684406685,0.491428571,0.677914935,0.316365797,0.379907393,0.630872483
ant1_7,0.691241651,0.771084337,0.388601036,0.686615005,0.493256262,0.68108532,0.318768515,0.38550755,0.626845638
ant1_7,0.706889735,0.710843373,0.297063903,0.706878679,0.51754386,0.706863072,0.353148664,0.452394494,0.582550336
ant1_7,0.74440248,0.740963855,0.252158895,0.744394538,0.565517241,0.744379351,0.423496002,0.512697114,0.534228188
ant1_7,0.706426743,0.728915663,0.316062176,0.706068688,0.514893617,0.705566631,0.349569228,0.440190804,0.589261745
ant1_7,0.716664586,0.801204819,0.367875648,0.711660788,0.51953125,0.704321107,0.361565309,0.420336075,0.597315436
ant1_7,0.720243669,0.728915663,0.288428325,0.72019146,0.533039648,0.720109292,0.376419758,0.469654446,0.567785235
ant1_7,0.721169653,0.692771084,0.250431779,0.720610289,0.539906103,0.719727202,0.386181366,0.496235775,0.554362416
ant1_7,0.682647689,0.746987952,0.381692573,0.679608857,0.485322896,0.67619117,0.304858256,0.380060619,0.632214765
ant1_7,0.689576961,0.734939759,0.355785838,0.688083281,0.493927126,0.686279987,0.317836616,0.400946199,0.617449664
ant1_7,0.721825124,0.813253012,0.369602763,0.716011488,0.524271845,0.707185519,0.369976167,0.42397216,0.593288591
ant1_7,0.709251514,0.843373494,0.424870466,0.696454596,0.507246377,0.679807265,0.348538737,0.385656759,0.622818792
ant1_7,0.705922134,0.771084337,0.359240069,0.702908206,0.509960159,0.69878927,0.344425311,0.415100671,0.604026846
ant1_7,0.702634372,0.674698795,0.269430052,0.702078816,0.516129032,0.701325071,0.351406547,0.466826462,0.577181208
