Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost
jira_jru,0.799064753,0.804597701,0.343167702,0.726970259,0.37037037,0.720763425,0.305235859,0.505237444,0.467852257
jira_wic,0.452169203,0.430769231,0.502143295,0.463099719,0.111332008,0.463263772,-0.037307086,-0.153472166,0.622802042
jira_hba,0.711745519,0.733944954,0.40665874,0.659908951,0.444444444,0.656374755,0.265017469,0.354131256,0.638338055
jira_gro,0.661070953,0.6,0.400798935,0.5996004,0.203389831,0.599600333,0.112797542,0.303694681,0.520097442
jira_act,0.669827936,0.641638225,0.394720302,0.623193863,0.339044184,0.623020373,0.180588799,0.324976284,0.600318471
jira_hiv,0.512646621,0.477031802,0.432480141,0.520312426,0.297356828,0.52013814,0.035879288,0.074727977,0.754943503
jira_der,0.617372595,0.524804178,0.333763997,0.591306551,0.29580574,0.589384928,0.13868606,0.312480113,0.562661738
jira_wic,0.429292477,0.369230769,0.443355787,0.453354355,0.106430155,0.454823801,-0.039046679,-0.185951976,0.577424844
jira_jru,0.857151781,0.873563218,0.347826087,0.754794768,0.392764858,0.738304331,0.346076372,0.530203758,0.455540356
jira_der,0.770583003,0.744125326,0.341085271,0.700225062,0.390410959,0.698494601,0.287040814,0.464940169,0.506839187
jira_act,0.818901329,0.805460751,0.338780641,0.729785065,0.441947566,0.723759306,0.343693696,0.489287578,0.502123142
jira_hba,0.772635787,0.743119266,0.335315101,0.702808761,0.489425982,0.701316281,0.334155689,0.435805966,0.577903683
jira_hiv,0.754264141,0.681978799,0.296557811,0.692627359,0.475369458,0.692523155,0.318605953,0.452200609,0.564265537
jira_gro,0.780825566,0.9,0.362183755,0.757650725,0.311111111,0.734314968,0.305606345,0.546623359,0.43361754
jira_jru,0.463464696,0.379310345,0.572981366,0.402458178,0.134969325,0.402687982,-0.126053883,-0.449819674,0.771545828
jira_gro,0.335685752,0.3,0.563249001,0.36197417,0.081712062,0.364685339,-0.147527696,-0.802679659,0.719853837
jira_act,0.814489781,0.819112628,0.357636706,0.725374307,0.435571688,0.716606056,0.337862081,0.475767427,0.513800425
jira_hiv,0.667764994,0.703180212,0.434245366,0.630735652,0.40862423,0.628065177,0.215152909,0.306018085,0.665960452
jira_hba,0.639223729,0.600917431,0.395957194,0.602478092,0.384164223,0.602477047,0.16702381,0.270866221,0.684608121
jira_der,0.755622797,0.74151436,0.357881137,0.690029244,0.37917223,0.687835192,0.271713183,0.444111062,0.521996303
jira_wic,0.579108766,0.546153846,0.43049602,0.557706723,0.157079646,0.557674806,0.060907555,0.196152525,0.539421441
jira_gro,0.369859235,0.457142857,0.556591212,0.450223456,0.123076923,0.450232934,-0.055805034,-0.198995128,0.686967113
jira_jru,0.712313486,0.609195402,0.352484472,0.628063279,0.288828338,0.627861896,0.170993513,0.371241256,0.522571819
jira_act,0.810330292,0.822525597,0.357636706,0.726883933,0.436990027,0.717687073,0.340308987,0.477297354,0.512738854
jira_hiv,0.633567657,0.575971731,0.300088261,0.634924701,0.41475827,0.632676616,0.230523111,0.383257946,0.609463277
jira_der,0.76680205,0.707571802,0.30620155,0.700651282,0.397069597,0.700605911,0.290989483,0.48693345,0.487245841
jira_hba,0.719798951,0.69266055,0.373365042,0.658821156,0.442166911,0.658050448,0.26013534,0.366076956,0.628895184
jira_wic,0.765900419,0.761538462,0.328842621,0.714921085,0.25848564,0.712770671,0.235481597,0.526289555,0.413499716
jira_hba,0.210720091,0.270642202,0.719381688,0.275585119,0.133786848,0.275613083,-0.375178501,-1.316736288,1.077431539
jira_hiv,0.692786904,0.565371025,0.308031774,0.625474848,0.404040404,0.623313181,0.214462651,0.364199329,0.620056497
jira_gro,0.382756325,0.314285714,0.535286285,0.382168656,0.089068826,0.384883959,-0.123504904,-0.643228878,0.69183922
jira_wic,0.748758773,0.715384615,0.366197183,0.673359328,0.226552984,0.672047035,0.186933422,0.452119127,0.45490641
jira_der,0.400493745,0.373368146,0.565030146,0.402993657,0.155603917,0.403373422,-0.134023208,-0.440649923,0.804066543
jira_jru,0.903110945,0.83908046,0.204968944,0.816758853,0.5,0.815734748,0.457086503,0.66577966,0.337893297
jira_act,0.781326489,0.750853242,0.308610937,0.72050796,0.438247012,0.719540719,0.330632377,0.497387087,0.493630573
jira_wic,0.50438551,0.461538462,0.445805266,0.505749132,0.130718954,0.505690803,0.008270205,0.031574967,0.566080545
jira_hiv,0.791425871,0.770318021,0.292144748,0.738426473,0.524038462,0.737224083,0.392462124,0.496685974,0.525423729
jira_act,0.822174862,0.825938567,0.297925833,0.761492043,0.479682854,0.75601518,0.394217014,0.539865944,0.461252654
jira_jru,0.824525237,0.827586207,0.403726708,0.702472456,0.343675418,0.689579502,0.275656978,0.45120839,0.515731874
jira_der,0.768934564,0.704960836,0.282515073,0.711195313,0.412528648,0.711154994,0.310390189,0.514399945,0.467652495
jira_hba,0.761066991,0.747706422,0.365041617,0.689030087,0.473837209,0.686226649,0.31141404,0.40643158,0.599622285
jira_gro,0.648364086,0.728571429,0.508655126,0.598314162,0.2027833,0.592321507,0.123017416,0.276109957,0.59683313
jira_jru,0.864148283,0.850574713,0.324534161,0.757980317,0.4,0.747363563,0.34969511,0.544847857,0.440492476
jira_hba,0.352163763,0.376146789,0.575505351,0.399590164,0.209183673,0.399833674,-0.161595574,-0.420898685,0.9197356
jira_hiv,0.481337267,0.480565371,0.545454545,0.467374374,0.262295082,0.467396491,-0.052007473,-0.108040462,0.843926554
jira_wic,0.769407414,0.784615385,0.402327006,0.684794441,0.229471316,0.677310093,0.201775355,0.451302926,0.478162223
jira_act,0.777857745,0.774744027,0.30106851,0.735862077,0.454454454,0.734121737,0.354629486,0.516311718,0.479830149
jira_der,0.678328307,0.608355091,0.312230835,0.646844551,0.347501864,0.645829258,0.21586154,0.417841702,0.52051756
jira_gro,0.704936275,0.842857143,0.418109188,0.700321946,0.266365688,0.684160507,0.238235711,0.460971531,0.494518879
jira_jru,0.250767473,0.183908046,0.565217391,0.282772028,0.068522484,0.298046733,-0.247135226,-1.826607387,0.81121751
jira_der,0.457032067,0.420365535,0.483204134,0.466093521,0.193277311,0.466397925,-0.04387265,-0.128319996,0.72051756
jira_act,0.278059391,0.245733788,0.540540541,0.336012966,0.11755102,0.343836303,-0.213687883,-1.013122199,0.846602972
jira_hiv,0.345520975,0.346289753,0.548984996,0.395198525,0.195413759,0.396376933,-0.162136525,-0.468350052,0.900423729
jira_wic,0.455108578,0.423076923,0.472749541,0.472300224,0.114942529,0.472585379,-0.026013042,-0.10875058,0.596710153
jira_gro,0.221276393,0.185714286,0.613848202,0.267794521,0.047794118,0.278934524,-0.242044219,-2.108779162,0.785627284
jira_hba,0.491163861,0.481651376,0.510107015,0.485754702,0.279255319,0.485755669,-0.023011467,-0.046917577,0.824362606
jira_der,0.778881423,0.723237598,0.329888028,0.696168208,0.388499299,0.695513926,0.281741947,0.466866413,0.503142329
jira_wic,0.600466343,0.615384615,0.511941212,0.548036376,0.152963671,0.547223676,0.054110074,0.15570051,0.604651163
jira_hiv,0.626481807,0.628975265,0.423654016,0.602085848,0.378320935,0.601790207,0.16462452,0.26119628,0.687146893
jira_jru,0.387136789,0.32183908,0.440993789,0.424158042,0.140350877,0.427995737,-0.078006261,-0.326167676,0.668946648
jira_hba,0.281851007,0.266055046,0.57431629,0.336534246,0.152832675,0.341018059,-0.249334089,-0.920126339,0.964117092
jira_act,0.61565697,0.655290102,0.485229415,0.580796065,0.30548926,0.579124425,0.123293562,0.219159147,0.672505308
jira_gro,0.50261556,0.485714286,0.491344874,0.497052373,0.143763214,0.497053889,-0.003145445,-0.010603998,0.622411693
jira_wic,0.678369212,0.730769231,0.4776485,0.617833638,0.189054726,0.61229309,0.132306742,0.320834702,0.555870675
jira_der,0.742818157,0.72845953,0.383290267,0.670259713,0.359536082,0.667851196,0.242918028,0.406744446,0.547504621
jira_hba,0.691686939,0.660550459,0.368608799,0.645806277,0.428571429,0.645670748,0.238515553,0.350986255,0.638338055
jira_gro,0.603005516,0.557142857,0.444740346,0.556200458,0.176072235,0.556200257,0.063045135,0.184546675,0.567600487
jira_jru,0.886431784,0.896551724,0.324534161,0.778196673,0.417112299,0.75914323,0.379297072,0.562085657,0.429548564
jira_hiv,0.737441484,0.618374558,0.270962048,0.671430206,0.45751634,0.669048033,0.293195074,0.449531881,0.56920904
jira_act,0.804220841,0.781569966,0.326838466,0.725343255,0.439539347,0.722029621,0.33673255,0.491333593,0.499469214
jira_hiv,0.649545127,0.653710247,0.426301853,0.612398855,0.389064143,0.611638144,0.182169486,0.278347839,0.679378531
