project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.807,0.704,0.759,0.770,0.774,0.831,0.528,0.789,0.825
poi2_0,0.711,0.610,0.669,0.669,0.691,0.669,0.549,0.686,0.672
camel1_4,0.617,0.608,0.653,0.803,0.663,0.681,0.495,0.695,0.700
ivy2_0,0.774,0.620,0.756,0.772,0.797,0.821,0.529,0.798,0.820
jedit4_0,0.760,0.642,0.754,0.824,0.751,0.766,0.485,0.774,0.791
log1_0,0.779,0.706,0.806,0.639,0.771,0.794,0.547,0.799,0.876
xal2_4,0.748,0.663,0.719,0.801,0.757,0.803,0.491,0.776,0.787
vel1_6,0.720,0.550,0.678,0.635,0.640,0.694,0.474,0.734,0.711
tom6_0,0.815,0.691,0.773,0.802,0.795,0.818,0.477,0.811,0.827
xer1_3,0.724,0.681,0.713,0.699,0.689,0.753,0.525,0.723,0.736
luc2_4,0.676,0.696,0.728,0.685,0.733,0.731,0.517,0.749,0.761
syn1_2,0.759,0.609,0.738,0.739,0.743,0.765,0.529,0.759,0.760
AEEEM_JDT,0.757,0.704,0.802,0.695,0.810,0.781,0.587,0.805,0.800
AEEEM_EQ,0.623,0.673,0.693,0.720,0.803,0.781,0.542,0.682,0.796
AEEEM_LC,0.665,0.647,0.751,0.747,0.759,0.655,0.630,0.744,0.797
AEEEM_ML,0.746,0.613,0.617,0.695,0.655,0.692,0.580,0.636,0.613
AEEEM_PDE,0.737,0.643,0.724,0.725,0.738,0.717,0.635,0.743,0.729
jira_act,0.762,0.706,0.783,0.691,0.771,0.785,0.626,0.796,0.819
jira_der,0.788,0.673,0.739,0.766,0.754,0.784,0.589,0.764,0.787
jira_gro,0.677,0.632,0.763,0.700,0.801,0.720,0.497,0.764,0.827
jira_hba,0.760,0.682,0.776,0.813,0.765,0.763,0.510,0.821,0.823
jira_hiv,0.791,0.704,0.786,0.713,0.753,0.812,0.583,0.793,0.800
jira_jru,0.860,0.778,0.864,0.787,0.873,0.872,0.571,0.884,0.903
jira_wic,0.804,0.649,0.703,0.863,0.757,0.832,0.555,0.812,0.840
,0.744,0.662,0.739,0.740,0.752,0.763,0.544,0.764,0.783
