project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.0,0.017,0.01,0.0,0.005,0.0,0.217,0.0,0.001
poi2_0,0.0,0.049,0.022,0.0,0.012,0.0,0.121,0.0,0.005
camel1_4,0.0,0.021,0.011,0.0,0.009,0.0,0.136,0.0,0.004
ivy2_0,0.0,0.043,0.016,0.0,0.009,0.0,0.205,0.0,0.003
jedit4_0,0.0,0.037,0.01,0.0,0.012,0.0,0.189,0.0,0.002
log1_0,0.0,0.047,0.02,0.0,0.012,0.0,0.242,0.0,0.002
xal2_4,0.0,0.028,0.007,0.0,0.007,0.0,0.181,0.0,0.002
vel1_6,0.0,0.032,0.017,0.0,0.016,0.0,0.143,0.0,0.003
tom6_0,0.0,0.027,0.01,0.0,0.006,0.0,0.209,0.0,0.002
xer1_3,0.0,0.038,0.014,0.0,0.013,0.0,0.19,0.0,0.005
luc2_4,0.0,0.02,0.009,0.0,0.008,0.0,0.165,0.0,0.003
syn1_2,0.0,0.036,0.016,0.0,0.006,0.0,0.203,0.0,0.002
AEEEM_JDT,0.0,0.024,0.013,0.0,0.008,0.0,0.229,0.0,0.003
AEEEM_EQ,0.0,0.029,0.025,0.0,0.014,0.0,0.194,0.0,0.006
AEEEM_LC,0.0,0.032,0.016,0.0,0.01,0.0,0.195,0.0,0.006
AEEEM_ML,0.0,0.019,0.017,0.0,0.015,0.0,0.103,0.0,0.004
AEEEM_PDE,0.0,0.021,0.007,0.0,0.006,0.0,0.147,0.0,0.003
jira_act,0.0,0.025,0.014,0.0,0.012,0.0,0.219,0.0,0.003
jira_der,0.0,0.017,0.009,0.0,0.008,0.0,0.176,0.0,0.003
jira_gro,0.0,0.041,0.014,0.0,0.019,0.0,0.201,0.0,0.002
jira_hba,0.0,0.022,0.009,0.0,0.005,0.0,0.2,0.0,0.001
jira_hiv,0.0,0.016,0.007,0.0,0.014,0.0,0.157,0.0,0.002
jira_jru,0.0,0.016,0.01,0.0,0.005,0.0,0.274,0.0,0.001
jira_wic,0.0,0.04,0.024,0.0,0.02,0.0,0.169,0.0,0.002
