project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.739,0.697,0.559,0.549,0.642,0.706,0.518,0.709,0.723
poi2_0,0.697,0.578,0.485,0.504,0.636,0.566,0.531,0.606,0.592
camel1_4,0.570,0.595,0.398,0.447,0.370,0.606,0.495,0.566,0.639
ivy2_0,0.735,0.606,0.594,0.574,0.419,0.668,0.499,0.677,0.719
jedit4_0,0.707,0.593,0.616,0.732,0.317,0.653,0.482,0.613,0.707
log1_0,0.674,0.686,0.427,0.396,0.539,0.684,0.533,0.689,0.713
xal2_4,0.697,0.655,0.627,0.408,0.362,0.684,0.497,0.539,0.716
vel1_6,0.598,0.458,0.402,0.543,0.310,0.635,0.474,0.641,0.623
tom6_0,0.733,0.676,0.584,0.484,0.411,0.660,0.476,0.619,0.738
xer1_3,0.610,0.673,0.493,0.430,0.501,0.665,0.520,0.602,0.573
luc2_4,0.566,0.692,0.375,0.657,0.379,0.677,0.512,0.642,0.598
syn1_2,0.660,0.539,0.463,0.652,0.596,0.667,0.517,0.509,0.666
AEEEM_JDT,0.720,0.686,0.731,0.600,0.463,0.664,0.566,0.482,0.636
AEEEM_EQ,0.624,0.659,0.434,0.721,0.355,0.681,0.487,0.665,0.585
AEEEM_LC,0.640,0.634,0.526,0.436,0.318,0.588,0.591,0.657,0.645
AEEEM_ML,0.685,0.559,0.573,0.460,0.392,0.620,0.568,0.551,0.509
AEEEM_PDE,0.635,0.608,0.563,0.480,0.306,0.643,0.588,0.661,0.647
jira_act,0.560,0.661,0.380,0.490,0.293,0.656,0.596,0.731,0.753
jira_der,0.295,0.613,0.378,0.461,0.299,0.660,0.558,0.369,0.503
jira_gro,0.575,0.586,0.502,0.869,0.406,0.638,0.487,0.689,0.676
jira_hba,0.455,0.668,0.563,0.673,0.527,0.676,0.508,0.628,0.688
jira_hiv,0.659,0.645,0.387,0.657,0.376,0.677,0.561,0.492,0.538
jira_jru,0.483,0.773,0.684,0.446,0.404,0.682,0.539,0.778,0.778
jira_wic,0.356,0.587,0.506,0.886,0.476,0.665,0.530,0.375,0.749
,0.611,0.630,0.510,0.565,0.421,0.655,0.526,0.604,0.655
