project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.0,0.02,0.015,0.0,0.01,0.0,0.151,0.0,0.008
poi2_0,0.0,0.073,0.025,0.0,0.018,0.0,0.104,0.0,0.022
camel1_4,0.0,0.027,0.014,0.0,0.009,0.0,0.099,0.0,0.007
ivy2_0,0.0,0.047,0.02,0.0,0.023,0.0,0.14,0.0,0.005
jedit4_0,0.0,0.06,0.019,0.0,0.012,0.0,0.143,0.0,0.009
log1_0,0.0,0.062,0.029,0.0,0.034,0.0,0.169,0.0,0.02
xal2_4,0.0,0.039,0.017,0.0,0.008,0.0,0.134,0.0,0.008
vel1_6,0.0,0.059,0.02,0.0,0.008,0.0,0.103,0.0,0.006
tom6_0,0.0,0.037,0.023,0.0,0.024,0.0,0.146,0.0,0.005
xer1_3,0.0,0.042,0.014,0.0,0.01,0.0,0.161,0.0,0.006
luc2_4,0.0,0.021,0.008,0.0,0.009,0.0,0.12,0.0,0.013
syn1_2,0.0,0.066,0.02,0.0,0.014,0.0,0.156,0.0,0.006
AEEEM_JDT,0.0,0.035,0.014,0.0,0.018,0.0,0.174,0.0,0.005
AEEEM_EQ,0.0,0.036,0.011,0.0,0.008,0.0,0.157,0.0,0.015
AEEEM_LC,0.0,0.045,0.022,0.0,0.011,0.0,0.144,0.0,0.018
AEEEM_ML,0.0,0.037,0.01,0.0,0.008,0.0,0.086,0.0,0.013
AEEEM_PDE,0.0,0.038,0.016,0.0,0.008,0.0,0.116,0.0,0.012
jira_act,0.0,0.046,0.01,0.0,0.0,0.0,0.165,0.0,0.003
jira_der,0.0,0.031,0.013,0.0,0.002,0.0,0.135,0.0,0.003
jira_gro,0.0,0.057,0.026,0.0,0.01,0.0,0.157,0.0,0.005
jira_hba,0.0,0.037,0.021,0.0,0.007,0.0,0.149,0.0,0.004
jira_hiv,0.0,0.026,0.014,0.0,0.009,0.0,0.12,0.0,0.002
jira_jru,0.0,0.019,0.038,0.0,0.019,0.0,0.198,0.0,0.003
jira_wic,0.0,0.066,0.034,0.0,0.014,0.0,0.123,0.0,0.011
