project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.485,0.427,0.604,0.397,0.332,0.424,-0.176,0.458,0.449
poi2_0,0.481,0.351,0.614,0.454,0.373,0.196,0.014,0.293,0.277
camel1_4,0.320,0.349,0.358,0.480,0.402,0.275,-0.084,0.468,0.452
ivy2_0,0.557,0.339,0.681,0.401,0.768,0.429,-0.260,0.442,0.505
jedit4_0,0.417,0.273,0.513,0.610,0.533,0.330,-0.252,0.311,0.422
log1_0,0.405,0.400,0.683,0.213,0.580,0.375,-0.100,0.402,0.676
xal2_4,0.449,0.428,0.454,0.450,0.730,0.434,-0.184,0.266,0.478
vel1_6,0.328,0.080,0.454,0.209,-0.075,0.267,-0.125,0.400,0.371
tom6_0,0.559,0.572,0.679,0.440,0.779,0.425,-0.416,0.743,0.615
xer1_3,0.529,0.439,0.589,0.242,0.616,0.396,-0.240,0.538,0.515
luc2_4,0.351,0.345,0.537,0.341,0.570,0.310,-0.022,0.409,0.438
syn1_2,0.310,0.181,0.481,0.441,0.473,0.320,-0.102,0.197,0.320
AEEEM_JDT,0.501,0.533,0.569,0.551,0.753,0.365,0.021,0.152,0.332
AEEEM_EQ,0.275,0.334,0.537,0.441,0.602,0.306,0.079,0.400,0.415
AEEEM_LC,0.397,0.443,0.814,0.546,0.877,0.257,0.172,0.408,0.666
AEEEM_ML,0.483,0.487,0.363,0.457,0.768,0.316,0.261,0.173,0.059
AEEEM_PDE,0.353,0.506,0.586,0.480,0.706,0.359,0.230,0.392,0.515
jira_act,0.251,0.645,0.811,0.449,0.000,0.377,0.056,0.570,0.576
jira_der,0.003,0.639,0.717,0.409,0.851,0.392,0.077,0.776,0.734
jira_gro,0.229,0.532,0.781,0.898,0.838,0.376,-0.628,0.686,0.686
jira_hba,0.145,0.481,0.595,0.639,0.579,0.385,-0.161,0.349,0.414
jira_hiv,0.370,0.642,0.744,0.633,0.756,0.390,0.102,0.713,0.633
jira_jru,0.207,0.655,0.753,0.662,0.828,0.457,-0.392,0.592,0.601
jira_wic,0.056,0.627,0.758,0.863,0.840,0.454,-0.052,0.094,0.577
,0.353,0.446,0.611,0.488,0.603,0.359,-0.091,0.426,0.489
