project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.0,0.039,0.02,0.0,0.015,0.0,0.672,0.0,0.013
poi2_0,0.0,0.151,0.069,0.0,0.037,0.0,0.471,0.0,0.065
camel1_4,0.0,0.046,0.104,0.0,0.057,0.0,0.356,0.0,0.014
ivy2_0,0.0,0.107,0.023,0.0,0.037,0.0,0.804,0.0,0.008
jedit4_0,0.0,0.09,0.019,0.0,0.14,0.0,0.622,0.0,0.017
log1_0,0.0,0.063,0.034,0.0,0.035,0.0,0.658,0.0,0.012
xal2_4,0.0,0.04,0.028,0.0,0.022,0.0,0.58,0.0,0.014
vel1_6,0.0,0.055,0.074,0.0,0.296,0.0,0.312,0.0,0.009
tom6_0,0.0,0.049,0.024,0.0,0.024,0.0,0.859,0.0,0.013
xer1_3,0.0,0.066,0.024,0.0,0.025,0.0,0.996,0.0,0.01
luc2_4,0.0,0.034,0.027,0.0,0.02,0.0,0.325,0.0,0.006
syn1_2,0.0,0.065,0.041,0.0,0.014,0.0,0.537,0.0,0.011
AEEEM_JDT,0.0,0.048,0.037,0.0,0.006,0.0,0.635,0.0,0.006
AEEEM_EQ,0.0,0.049,0.02,0.0,0.0,0.0,0.369,0.0,0.013
AEEEM_LC,0.0,0.077,0.016,0.0,0.163,0.0,0.609,0.0,0.03
AEEEM_ML,0.0,0.037,0.056,0.0,0.008,0.0,0.309,0.0,0.029
AEEEM_PDE,0.0,0.035,0.014,0.0,0.204,0.0,0.402,0.0,0.01
jira_act,0.0,0.035,0.011,0.0,0.0,0.0,0.654,0.0,0.009
jira_der,0.0,0.019,0.02,0.0,0.014,0.0,0.479,0.0,0.002
jira_gro,0.0,0.143,0.019,0.0,0.007,0.0,1.522,0.0,0.004
jira_hba,0.0,0.027,0.021,0.0,0.022,0.0,0.579,0.0,0.006
jira_hiv,0.0,0.028,0.018,0.0,0.011,0.0,0.355,0.0,0.003
jira_jru,0.0,0.038,0.017,0.0,0.017,0.0,1.188,0.0,0.003
jira_wic,0.0,0.1,0.042,0.0,0.009,0.0,0.604,0.0,0.019
