project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.554,0.511,0.455,0.501,0.477,0.535,0.334,0.521,0.540
poi2_0,0.346,0.277,0.293,0.407,0.291,0.237,0.221,0.271,0.257
camel1_4,0.320,0.342,0.193,0.346,0.158,0.344,0.255,0.356,0.393
ivy2_0,0.382,0.272,0.392,0.522,0.261,0.324,0.200,0.330,0.358
jedit4_0,0.545,0.476,0.491,0.615,0.064,0.491,0.324,0.513,0.542
log1_0,0.512,0.540,0.306,0.245,0.444,0.535,0.386,0.527,0.676
xal2_4,0.407,0.375,0.367,0.272,0.167,0.412,0.243,0.340,0.429
vel1_6,0.497,0.514,0.249,0.392,0.044,0.552,0.384,0.553,0.529
tom6_0,0.322,0.313,0.337,0.408,0.236,0.265,0.153,0.400,0.351
xer1_3,0.386,0.392,0.324,0.304,0.341,0.386,0.269,0.386,0.359
luc2_4,0.484,0.635,0.204,0.608,0.214,0.624,0.450,0.578,0.537
syn1_2,0.591,0.531,0.350,0.483,0.514,0.573,0.419,0.566,0.570
AEEEM_JDT,0.520,0.512,0.561,0.349,0.372,0.460,0.385,0.383,0.453
AEEEM_EQ,0.557,0.609,0.324,0.601,0.161,0.639,0.488,0.611,0.525
AEEEM_LC,0.248,0.262,0.398,0.309,0.068,0.210,0.240,0.257,0.361
AEEEM_ML,0.368,0.312,0.286,0.314,0.224,0.304,0.281,0.259,0.229
AEEEM_PDE,0.341,0.356,0.364,0.377,0.035,0.341,0.310,0.350,0.379
jira_act,0.335,0.481,0.214,0.405,0.000,0.381,0.334,0.475,0.491
jira_der,0.249,0.425,0.194,0.370,0.018,0.363,0.283,0.183,0.383
jira_gro,0.190,0.267,0.337,0.132,0.245,0.233,0.151,0.371,0.366
jira_hba,0.384,0.476,0.442,0.341,0.399,0.474,0.311,0.472,0.505
jira_hiv,0.463,0.531,0.226,0.333,0.206,0.468,0.351,0.402,0.427
jira_jru,0.259,0.474,0.519,0.314,0.255,0.354,0.243,0.436,0.439
jira_wic,0.145,0.277,0.306,0.364,0.332,0.235,0.152,0.150,0.290
,0.392,0.423,0.339,0.388,0.230,0.406,0.299,0.404,0.433
