project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.0,0.021,0.02,0.0,0.009,0.0,0.142,0.0,0.007
poi2_0,0.0,0.047,0.038,0.0,0.015,0.0,0.069,0.0,0.017
camel1_4,0.0,0.023,0.023,0.0,0.015,0.0,0.078,0.0,0.006
ivy2_0,0.0,0.036,0.023,0.0,0.039,0.0,0.092,0.0,0.005
jedit4_0,0.0,0.035,0.021,0.0,0.03,0.0,0.132,0.0,0.009
log1_0,0.0,0.061,0.056,0.0,0.048,0.0,0.157,0.0,0.025
xal2_4,0.0,0.026,0.016,0.0,0.018,0.0,0.103,0.0,0.008
vel1_6,0.0,0.024,0.041,0.0,0.021,0.0,0.105,0.0,0.007
tom6_0,0.0,0.027,0.022,0.0,0.039,0.0,0.084,0.0,0.008
xer1_3,0.0,0.039,0.018,0.0,0.014,0.0,0.127,0.0,0.006
luc2_4,0.0,0.023,0.019,0.0,0.019,0.0,0.112,0.0,0.015
syn1_2,0.0,0.027,0.033,0.0,0.015,0.0,0.151,0.0,0.006
AEEEM_JDT,0.0,0.034,0.026,0.0,0.03,0.0,0.17,0.0,0.003
AEEEM_EQ,0.0,0.046,0.02,0.0,0.018,0.0,0.104,0.0,0.018
AEEEM_LC,0.0,0.028,0.031,0.0,0.028,0.0,0.088,0.0,0.016
AEEEM_ML,0.0,0.024,0.015,0.0,0.014,0.0,0.057,0.0,0.005
AEEEM_PDE,0.0,0.027,0.013,0.0,0.02,0.0,0.082,0.0,0.007
jira_act,0.0,0.031,0.023,0.0,0.0,0.0,0.139,0.0,0.006
jira_der,0.0,0.02,0.026,0.0,0.007,0.0,0.101,0.0,0.004
jira_gro,0.0,0.049,0.032,0.0,0.018,0.0,0.087,0.0,0.004
jira_hba,0.0,0.026,0.025,0.0,0.013,0.0,0.132,0.0,0.003
jira_hiv,0.0,0.025,0.029,0.0,0.019,0.0,0.11,0.0,0.003
jira_jru,0.0,0.031,0.038,0.0,0.037,0.0,0.146,0.0,0.003
jira_wic,0.0,0.05,0.041,0.0,0.017,0.0,0.061,0.0,0.01
