project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.740,0.701,0.591,0.579,0.660,0.725,0.517,0.709,0.730
poi2_0,0.698,0.582,0.503,0.525,0.636,0.566,0.531,0.612,0.592
camel1_4,0.575,0.599,0.373,0.459,0.322,0.609,0.495,0.582,0.645
ivy2_0,0.735,0.610,0.625,0.600,0.416,0.693,0.500,0.701,0.727
jedit4_0,0.711,0.609,0.636,0.747,0.178,0.658,0.481,0.650,0.708
log1_0,0.674,0.695,0.430,0.371,0.569,0.693,0.534,0.689,0.751
xal2_4,0.701,0.658,0.634,0.398,0.311,0.709,0.496,0.576,0.723
vel1_6,0.606,0.451,0.383,0.547,0.143,0.636,0.473,0.651,0.633
tom6_0,0.735,0.683,0.613,0.508,0.402,0.683,0.476,0.654,0.739
xer1_3,0.626,0.676,0.512,0.423,0.524,0.680,0.520,0.621,0.591
luc2_4,0.582,0.694,0.338,0.664,0.347,0.679,0.512,0.657,0.623
syn1_2,0.674,0.551,0.476,0.658,0.620,0.670,0.518,0.547,0.668
AEEEM_JDT,0.720,0.696,0.738,0.618,0.486,0.673,0.568,0.496,0.655
AEEEM_EQ,0.626,0.665,0.442,0.722,0.295,0.683,0.475,0.677,0.609
AEEEM_LC,0.640,0.638,0.565,0.441,0.181,0.590,0.592,0.659,0.667
AEEEM_ML,0.685,0.574,0.579,0.468,0.371,0.625,0.571,0.555,0.510
AEEEM_PDE,0.650,0.621,0.588,0.498,0.125,0.652,0.589,0.664,0.656
jira_act,0.583,0.684,0.350,0.512,0.000,0.668,0.597,0.733,0.754
jira_der,0.055,0.640,0.343,0.477,0.094,0.675,0.558,0.325,0.534
jira_gro,0.577,0.600,0.532,0.876,0.396,0.650,0.485,0.707,0.696
jira_hba,0.467,0.674,0.593,0.687,0.553,0.687,0.509,0.667,0.715
jira_hiv,0.680,0.675,0.362,0.673,0.342,0.689,0.561,0.523,0.570
jira_jru,0.508,0.776,0.717,0.457,0.392,0.716,0.539,0.786,0.782
jira_wic,0.294,0.606,0.534,0.887,0.503,0.699,0.532,0.338,0.762
,0.606,0.640,0.519,0.575,0.369,0.667,0.526,0.616,0.668
