project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.0,0.019,0.017,0.0,0.01,0.0,0.155,0.0,0.006
poi2_0,0.0,0.079,0.033,0.0,0.018,0.0,0.106,0.0,0.022
camel1_4,0.0,0.026,0.025,0.0,0.018,0.0,0.099,0.0,0.006
ivy2_0,0.0,0.047,0.02,0.0,0.036,0.0,0.147,0.0,0.005
jedit4_0,0.0,0.054,0.019,0.0,0.044,0.0,0.146,0.0,0.008
log1_0,0.0,0.06,0.047,0.0,0.04,0.0,0.17,0.0,0.019
xal2_4,0.0,0.036,0.016,0.0,0.018,0.0,0.136,0.0,0.007
vel1_6,0.0,0.079,0.036,0.0,0.054,0.0,0.104,0.0,0.005
tom6_0,0.0,0.033,0.024,0.0,0.041,0.0,0.154,0.0,0.005
xer1_3,0.0,0.041,0.017,0.0,0.012,0.0,0.165,0.0,0.006
luc2_4,0.0,0.02,0.018,0.0,0.017,0.0,0.123,0.0,0.012
syn1_2,0.0,0.076,0.027,0.0,0.013,0.0,0.159,0.0,0.006
AEEEM_JDT,0.0,0.031,0.015,0.0,0.025,0.0,0.178,0.0,0.004
AEEEM_EQ,0.0,0.033,0.017,0.0,0.018,0.0,0.189,0.0,0.014
AEEEM_LC,0.0,0.043,0.027,0.0,0.05,0.0,0.146,0.0,0.014
AEEEM_ML,0.0,0.037,0.011,0.0,0.014,0.0,0.089,0.0,0.013
AEEEM_PDE,0.0,0.037,0.016,0.0,0.048,0.0,0.119,0.0,0.01
jira_act,0.0,0.04,0.021,0.0,0.0,0.0,0.168,0.0,0.003
jira_der,0.0,0.028,0.027,0.0,0.017,0.0,0.136,0.0,0.004
jira_gro,0.0,0.054,0.033,0.0,0.017,0.0,0.168,0.0,0.004
jira_hba,0.0,0.032,0.022,0.0,0.009,0.0,0.15,0.0,0.004
jira_hiv,0.0,0.023,0.027,0.0,0.018,0.0,0.121,0.0,0.002
jira_jru,0.0,0.017,0.035,0.0,0.035,0.0,0.207,0.0,0.003
jira_wic,0.0,0.069,0.042,0.0,0.019,0.0,0.127,0.0,0.008
