project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.409,0.345,0.345,0.331,0.300,0.394,0.038,0.358,0.392
poi2_0,0.264,0.156,0.206,0.264,0.179,0.089,0.048,0.156,0.122
camel1_4,0.142,0.172,0.086,0.287,0.081,0.169,-0.003,0.209,0.245
ivy2_0,0.317,0.158,0.307,0.332,0.249,0.269,0.015,0.277,0.299
jedit4_0,0.369,0.257,0.331,0.495,0.092,0.281,-0.025,0.338,0.364
log1_0,0.312,0.363,0.318,0.105,0.337,0.346,0.066,0.333,0.594
xal2_4,0.297,0.244,0.227,0.232,0.190,0.324,0.000,0.231,0.331
vel1_6,0.245,0.116,0.187,0.120,-0.010,0.261,-0.038,0.331,0.295
tom6_0,0.284,0.250,0.264,0.306,0.218,0.232,-0.014,0.336,0.308
xer1_3,0.257,0.269,0.223,0.128,0.245,0.277,0.038,0.258,0.227
luc2_4,0.256,0.382,0.217,0.347,0.243,0.350,0.031,0.363,0.353
syn1_2,0.349,0.225,0.244,0.298,0.341,0.321,0.041,0.321,0.317
AEEEM_JDT,0.375,0.370,0.432,0.238,0.390,0.293,0.133,0.164,0.289
AEEEM_EQ,0.257,0.349,0.301,0.411,0.233,0.359,0.054,0.389,0.334
AEEEM_LC,0.167,0.184,0.360,0.246,0.173,0.110,0.119,0.190,0.292
AEEEM_ML,0.264,0.189,0.144,0.185,0.236,0.180,0.117,0.095,0.029
AEEEM_PDE,0.233,0.233,0.253,0.260,0.083,0.226,0.138,0.233,0.259
jira_act,0.195,0.380,0.284,0.283,0.000,0.259,0.150,0.371,0.396
jira_der,0.021,0.323,0.194,0.270,0.085,0.262,0.089,0.220,0.329
jira_gro,0.094,0.189,0.288,0.230,0.258,0.184,-0.005,0.317,0.309
jira_hba,0.175,0.319,0.325,0.279,0.285,0.318,0.017,0.339,0.378
jira_hiv,0.317,0.423,0.273,0.268,0.267,0.320,0.106,0.369,0.331
jira_jru,0.169,0.414,0.451,0.267,0.296,0.309,0.068,0.393,0.390
jira_wic,0.055,0.217,0.252,0.418,0.308,0.235,0.038,0.084,0.291
,0.243,0.272,0.271,0.275,0.212,0.265,0.051,0.278,0.311
