project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.0,0.031,0.024,0.0,0.016,0.0,0.255,0.0,0.01
poi2_0,0.0,0.07,0.047,0.0,0.024,0.0,0.136,0.0,0.028
camel1_4,0.0,0.032,0.032,0.0,0.017,0.0,0.151,0.0,0.009
ivy2_0,0.0,0.057,0.026,0.0,0.043,0.0,0.187,0.0,0.007
jedit4_0,0.0,0.063,0.025,0.0,0.05,0.0,0.251,0.0,0.015
log1_0,0.0,0.076,0.057,0.0,0.05,0.0,0.301,0.0,0.031
xal2_4,0.0,0.036,0.022,0.0,0.022,0.0,0.197,0.0,0.01
vel1_6,0.0,0.068,0.054,0.0,0.039,0.0,0.198,0.0,0.009
tom6_0,0.0,0.034,0.025,0.0,0.036,0.0,0.177,0.0,0.009
xer1_3,0.0,0.057,0.02,0.0,0.019,0.0,0.239,0.0,0.008
luc2_4,0.0,0.038,0.023,0.0,0.017,0.0,0.237,0.0,0.014
syn1_2,0.0,0.063,0.038,0.0,0.016,0.0,0.302,0.0,0.01
AEEEM_JDT,0.0,0.044,0.036,0.0,0.022,0.0,0.303,0.0,0.005
AEEEM_EQ,0.0,0.057,0.023,0.0,0.015,0.0,0.34,0.0,0.017
AEEEM_LC,0.0,0.039,0.033,0.0,0.048,0.0,0.181,0.0,0.017
AEEEM_ML,0.0,0.026,0.023,0.0,0.011,0.0,0.128,0.0,0.014
AEEEM_PDE,0.0,0.03,0.014,0.0,0.044,0.0,0.172,0.0,0.009
jira_act,0.0,0.032,0.023,0.0,0.0,0.0,0.246,0.0,0.006
jira_der,0.0,0.021,0.025,0.0,0.014,0.0,0.193,0.0,0.003
jira_gro,0.0,0.063,0.032,0.0,0.018,0.0,0.182,0.0,0.005
jira_hba,0.0,0.03,0.028,0.0,0.02,0.0,0.246,0.0,0.005
jira_hiv,0.0,0.03,0.028,0.0,0.017,0.0,0.195,0.0,0.003
jira_jru,0.0,0.032,0.042,0.0,0.036,0.0,0.266,0.0,0.005
jira_wic,0.0,0.057,0.045,0.0,0.016,0.0,0.136,0.0,0.01
