project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.771,0.744,0.382,0.370,0.838,0.867,0.521,0.711,0.812
poi2_0,0.730,0.584,0.277,0.305,0.641,0.622,0.542,0.730,0.596
camel1_4,0.462,0.515,0.153,0.219,0.111,0.690,0.503,0.414,0.559
ivy2_0,0.750,0.625,0.435,0.409,0.178,0.875,0.535,0.875,0.812
jedit4_0,0.773,0.808,0.479,0.645,0.034,0.747,0.478,0.920,0.750
log1_0,0.647,0.770,0.190,0.150,0.353,0.794,0.542,0.706,0.598
xal2_4,0.773,0.647,0.535,0.163,0.098,0.882,0.485,0.945,0.808
vel1_6,0.487,0.843,0.156,0.431,0.024,0.679,0.471,0.538,0.517
tom6_0,0.766,0.608,0.422,0.272,0.167,0.870,0.481,0.468,0.711
xer1_3,0.478,0.696,0.288,0.201,0.299,0.826,0.513,0.464,0.418
luc2_4,0.414,0.707,0.117,0.575,0.122,0.724,0.513,0.527,0.447
syn1_2,0.814,0.835,0.245,0.571,0.446,0.733,0.515,0.977,0.722
AEEEM_JDT,0.699,0.610,0.672,0.460,0.240,0.786,0.532,0.898,0.845
AEEEM_EQ,0.566,0.631,0.199,0.713,0.088,0.721,0.530,0.566,0.428
AEEEM_LC,0.641,0.609,0.331,0.204,0.035,0.672,0.584,0.719,0.519
AEEEM_ML,0.665,0.404,0.461,0.242,0.140,0.731,0.511,0.698,0.630
AEEEM_PDE,0.818,0.486,0.396,0.268,0.018,0.780,0.592,0.732,0.553
jira_act,0.863,0.541,0.123,0.282,0.000,0.802,0.621,0.693,0.745
jira_der,1.000,0.467,0.121,0.240,0.009,0.822,0.579,0.107,0.299
jira_gro,0.671,0.461,0.297,0.833,0.160,0.800,0.488,0.586,0.564
jira_hba,0.940,0.603,0.391,0.570,0.337,0.812,0.510,0.931,0.894
jira_hiv,0.855,0.508,0.133,0.544,0.118,0.820,0.564,0.283,0.351
jira_jru,0.954,0.749,0.560,0.218,0.157,0.920,0.543,0.862,0.831
jira_wic,0.969,0.440,0.304,0.870,0.260,0.915,0.545,0.985,0.861
,0.729,0.620,0.319,0.406,0.203,0.787,0.529,0.681,0.636
