project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.0,0.054,0.022,0.0,0.015,0.0,0.205,0.0,0.011
poi2_0,0.0,0.169,0.035,0.0,0.026,0.0,0.139,0.0,0.02
camel1_4,0.0,0.06,0.021,0.0,0.013,0.0,0.123,0.0,0.016
ivy2_0,0.0,0.123,0.029,0.0,0.032,0.0,0.225,0.0,0.012
jedit4_0,0.0,0.097,0.03,0.0,0.016,0.0,0.169,0.0,0.015
log1_0,0.0,0.133,0.041,0.0,0.049,0.0,0.181,0.0,0.029
xal2_4,0.0,0.1,0.031,0.0,0.012,0.0,0.159,0.0,0.011
vel1_6,0.0,0.085,0.028,0.0,0.011,0.0,0.132,0.0,0.012
tom6_0,0.0,0.074,0.034,0.0,0.034,0.0,0.235,0.0,0.015
xer1_3,0.0,0.093,0.019,0.0,0.014,0.0,0.19,0.0,0.009
luc2_4,0.0,0.054,0.012,0.0,0.012,0.0,0.115,0.0,0.02
syn1_2,0.0,0.1,0.028,0.0,0.021,0.0,0.165,0.0,0.014
AEEEM_JDT,0.0,0.068,0.018,0.0,0.025,0.0,0.168,0.0,0.009
AEEEM_EQ,0.0,0.108,0.015,0.0,0.011,0.0,0.118,0.0,0.023
AEEEM_LC,0.0,0.112,0.03,0.0,0.015,0.0,0.128,0.0,0.036
AEEEM_ML,0.0,0.063,0.029,0.0,0.011,0.0,0.046,0.0,0.01
AEEEM_PDE,0.0,0.068,0.025,0.0,0.011,0.0,0.086,0.0,0.025
jira_act,0.0,0.076,0.015,0.0,0.0,0.0,0.216,0.0,0.011
jira_der,0.0,0.05,0.019,0.0,0.003,0.0,0.143,0.0,0.004
jira_gro,0.0,0.105,0.037,0.0,0.014,0.0,0.241,0.0,0.007
jira_hba,0.0,0.081,0.031,0.0,0.01,0.0,0.18,0.0,0.003
jira_hiv,0.0,0.04,0.019,0.0,0.012,0.0,0.141,0.0,0.003
jira_jru,0.0,0.048,0.056,0.0,0.027,0.0,0.284,0.0,0.008
jira_wic,0.0,0.111,0.048,0.0,0.02,0.0,0.184,0.0,0.016
