project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.0,0.053,0.01,0.0,0.015,0.0,0.115,0.0,0.016
poi2_0,0.0,0.18,0.018,0.0,0.018,0.0,0.111,0.0,0.052
camel1_4,0.0,0.04,0.017,0.0,0.009,0.0,0.103,0.0,0.014
ivy2_0,0.0,0.103,0.01,0.0,0.007,0.0,0.114,0.0,0.008
jedit4_0,0.0,0.134,0.012,0.0,0.002,0.0,0.142,0.0,0.02
log1_0,0.0,0.082,0.007,0.0,0.012,0.0,0.176,0.0,0.009
xal2_4,0.0,0.06,0.019,0.0,0.002,0.0,0.121,0.0,0.016
vel1_6,0.0,0.108,0.015,0.0,0.003,0.0,0.13,0.0,0.009
tom6_0,0.0,0.045,0.009,0.0,0.005,0.0,0.11,0.0,0.014
xer1_3,0.0,0.068,0.006,0.0,0.01,0.0,0.153,0.0,0.004
luc2_4,0.0,0.052,0.004,0.0,0.004,0.0,0.152,0.0,0.005
syn1_2,0.0,0.127,0.012,0.0,0.011,0.0,0.173,0.0,0.016
AEEEM_JDT,0.0,0.049,0.034,0.0,0.003,0.0,0.199,0.0,0.01
AEEEM_EQ,0.0,0.083,0.006,0.0,0.0,0.0,0.346,0.0,0.012
AEEEM_LC,0.0,0.087,0.005,0.0,0.0,0.0,0.176,0.0,0.028
AEEEM_ML,0.0,0.034,0.042,0.0,0.002,0.0,0.154,0.0,0.027
AEEEM_PDE,0.0,0.037,0.009,0.0,0.001,0.0,0.175,0.0,0.013
jira_act,0.0,0.035,0.001,0.0,0.0,0.0,0.12,0.0,0.011
jira_der,0.0,0.02,0.003,0.0,0.0,0.0,0.147,0.0,0.001
jira_gro,0.0,0.094,0.006,0.0,0.001,0.0,0.091,0.0,0.002
jira_hba,0.0,0.045,0.01,0.0,0.009,0.0,0.125,0.0,0.007
jira_hiv,0.0,0.021,0.003,0.0,0.002,0.0,0.122,0.0,0.001
jira_jru,0.0,0.041,0.01,0.0,0.003,0.0,0.128,0.0,0.003
jira_wic,0.0,0.067,0.014,0.0,0.003,0.0,0.09,0.0,0.022
