project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.55,0.598,0.564,1.109,0.668,0.588,0.806,0.579,0.287
poi2_0,0.475,0.537,0.361,0.865,0.528,0.634,0.641,0.611,0.287
camel1_4,0.583,0.576,0.52,1.119,0.51,0.655,0.754,0.513,0.263
ivy2_0,0.418,0.541,0.331,1.01,0.321,0.543,0.672,0.531,0.233
jedit4_0,0.618,0.734,0.616,0.496,0.724,0.686,0.883,0.693,0.309
log1_0,0.652,0.635,0.672,1.475,0.636,0.652,0.833,0.644,0.249
xal2_4,0.53,0.532,0.504,1.219,0.438,0.553,0.721,0.719,0.255
vel1_6,0.852,0.937,0.947,0.825,1.023,0.825,1.038,0.795,0.409
tom6_0,0.401,0.366,0.29,1.152,0.261,0.535,0.642,0.263,0.176
xer1_3,0.464,0.529,0.444,1.285,0.435,0.578,0.694,0.459,0.234
luc2_4,0.935,0.797,1.058,0.922,1.05,0.813,1.046,0.849,0.44
syn1_2,0.74,0.845,0.851,0.621,0.767,0.755,0.951,0.807,0.379
AEEEM_JDT,0.536,0.527,0.493,0.411,0.53,0.632,0.707,0.824,0.33
AEEEM_EQ,0.929,0.863,1.048,0.648,1.125,0.833,1.056,0.858,0.467
AEEEM_LC,0.486,0.451,0.247,0.787,0.271,0.59,0.527,0.504,0.154
AEEEM_ML,0.476,0.443,0.507,0.681,0.372,0.606,0.564,0.697,0.369
AEEEM_PDE,0.606,0.456,0.417,0.861,0.415,0.592,0.6,0.557,0.228
jira_act,0.71,0.408,0.432,1.006,0.467,0.592,0.628,0.441,0.218
jira_der,0.997,0.396,0.407,1.236,0.422,0.575,0.652,0.403,0.189
jira_gro,0.602,0.358,0.244,0.089,0.241,0.551,0.628,0.29,0.144
jira_hba,0.84,0.559,0.534,0.319,0.551,0.616,0.796,0.649,0.295
jira_hiv,0.626,0.477,0.554,0.321,0.558,0.608,0.722,0.511,0.259
jira_jru,0.773,0.349,0.295,0.52,0.328,0.528,0.62,0.401,0.196
jira_wic,0.922,0.288,0.227,0.131,0.205,0.518,0.579,0.895,0.198
