project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.0,0.027,0.011,0.0,0.012,0.0,0.171,0.0,0.005
poi2_0,0.0,0.127,0.018,0.0,0.019,0.0,0.114,0.0,0.022
camel1_4,0.0,0.023,0.014,0.0,0.006,0.0,0.114,0.0,0.004
ivy2_0,0.0,0.074,0.01,0.0,0.008,0.0,0.129,0.0,0.003
jedit4_0,0.0,0.066,0.014,0.0,0.009,0.0,0.175,0.0,0.006
log1_0,0.0,0.049,0.021,0.0,0.025,0.0,0.212,0.0,0.008
xal2_4,0.0,0.028,0.015,0.0,0.004,0.0,0.145,0.0,0.006
vel1_6,0.0,0.043,0.022,0.0,0.008,0.0,0.139,0.0,0.003
tom6_0,0.0,0.033,0.009,0.0,0.005,0.0,0.125,0.0,0.005
xer1_3,0.0,0.047,0.007,0.0,0.008,0.0,0.178,0.0,0.002
luc2_4,0.0,0.028,0.009,0.0,0.008,0.0,0.162,0.0,0.006
syn1_2,0.0,0.049,0.019,0.0,0.011,0.0,0.21,0.0,0.004
AEEEM_JDT,0.0,0.028,0.025,0.0,0.009,0.0,0.22,0.0,0.003
AEEEM_EQ,0.0,0.051,0.013,0.0,0.008,0.0,0.184,0.0,0.007
AEEEM_LC,0.0,0.063,0.007,0.0,0.003,0.0,0.179,0.0,0.01
AEEEM_ML,0.0,0.017,0.031,0.0,0.002,0.0,0.138,0.0,0.011
AEEEM_PDE,0.0,0.019,0.006,0.0,0.003,0.0,0.164,0.0,0.003
jira_act,0.0,0.017,0.005,0.0,0.0,0.0,0.167,0.0,0.003
jira_der,0.0,0.008,0.004,0.0,0.001,0.0,0.158,0.0,0.0
jira_gro,0.0,0.076,0.006,0.0,0.002,0.0,0.12,0.0,0.001
jira_hba,0.0,0.015,0.013,0.0,0.009,0.0,0.17,0.0,0.003
jira_hiv,0.0,0.015,0.007,0.0,0.005,0.0,0.141,0.0,0.001
jira_jru,0.0,0.028,0.013,0.0,0.006,0.0,0.175,0.0,0.001
jira_wic,0.0,0.052,0.012,0.0,0.003,0.0,0.104,0.0,0.009
