Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost,costeff
AEEEM_EQ,0.702047307,0.124031008,0.041025641,0.344880495,0.209150327,0.379917433,0.155150109,0.402777778,0.560185185,0.376666667
AEEEM_EQ,0.671794872,0.100775194,0.025641026,0.313354774,0.176870748,0.363893596,0.160565663,0.448717949,0.564814815,0.379084967
AEEEM_EQ,0.69385808,0.139534884,0.056410256,0.362854909,0.227848101,0.390253195,0.142538395,0.358539095,0.558641975,0.376271186
AEEEM_EQ,0.719181077,0.162790698,0.046153846,0.394052383,0.264150943,0.407104734,0.196976155,0.431216931,0.546296296,0.367346939
AEEEM_EQ,0.734446432,0.162790698,0.051282051,0.392991675,0.2625,0.40689408,0.185569265,0.412257496,0.547839506,0.368600683
AEEEM_EQ,0.703080898,0.19379845,0.061538462,0.426464994,0.301204819,0.428271077,0.203562994,0.410740741,0.538580247,0.362369338
AEEEM_EQ,0.765772212,0.209302326,0.056410256,0.444404689,0.323353293,0.439471263,0.232606745,0.439643347,0.530864198,0.356643357
AEEEM_EQ,0.689167164,0.186046512,0.082051282,0.413256769,0.284023669,0.421531032,0.154752051,0.336419753,0.547839506,0.36971831
AEEEM_EQ,0.749592526,0.170542636,0.061538462,0.400059626,0.26993865,0.4118731,0.17410724,0.384680135,0.547839506,0.368965517
AEEEM_EQ,0.695487975,0.317829457,0.076923077,0.541646598,0.443243243,0.514575542,0.311888278,0.456187895,0.49382716,0.328358209
AEEEM_EQ,0.680421387,0.131782946,0.041025641,0.355494678,0.220779221,0.385392826,0.16649,0.414488017,0.557098765,0.37458194
AEEEM_EQ,0.689445438,0.139534884,0.051282051,0.363839592,0.229299363,0.39047967,0.15375029,0.380658436,0.557098765,0.375
AEEEM_EQ,0.641780958,0.069767442,0.025641026,0.260726932,0.125874126,0.341976416,0.106234592,0.380658436,0.577160494,0.387096774
AEEEM_EQ,0.744066786,0.162790698,0.051282051,0.392991675,0.2625,0.40689408,0.185569265,0.412257496,0.547839506,0.368600683
AEEEM_EQ,0.633114689,0.100775194,0.035897436,0.311701175,0.174496644,0.363645587,0.131964223,0.387464387,0.567901235,0.381578947
AEEEM_EQ,0.673345259,0.162790698,0.056410256,0.391928096,0.260869565,0.406661339,0.174545049,0.39329806,0.549382716,0.369863014
AEEEM_EQ,0.716159809,0.093023256,0.025641026,0.301061529,0.164383562,0.358414356,0.147932601,0.43595679,0.567901235,0.381107492
AEEEM_EQ,0.728483403,0.108527132,0.046153846,0.321742424,0.184210526,0.368789238,0.118895007,0.345899471,0.567901235,0.382059801
AEEEM_EQ,0.744146293,0.217054264,0.071794872,0.448855077,0.32748538,0.444051023,0.211693334,0.402777778,0.532407407,0.358156028
AEEEM_EQ,0.665195786,0.162790698,0.087179487,0.385485004,0.251497006,0.404802689,0.115033289,0.279541446,0.558641975,0.377622378
AEEEM_EQ,0.676764063,0.11627907,0.030769231,0.335710072,0.2,0.374736284,0.170018934,0.442592593,0.560185185,0.376237624
AEEEM_EQ,0.694215862,0.147286822,0.046153846,0.374818581,0.242038217,0.396158157,0.176189521,0.413255361,0.552469136,0.371621622
AEEEM_EQ,0.669330153,0.15503876,0.061538462,0.381441887,0.248447205,0.400939703,0.153411792,0.362962963,0.554012346,0.373287671
AEEEM_EQ,0.694374876,0.209302326,0.056410256,0.444404689,0.323353293,0.439471263,0.232606745,0.439643347,0.530864198,0.356643357
AEEEM_EQ,0.704750547,0.201550388,0.076923077,0.431331093,0.305882353,0.432796799,0.183501762,0.372150997,0.540123457,0.363957597
AEEEM_EQ,0.717392169,0.217054264,0.087179487,0.445119741,0.32183908,0.442952296,0.183835176,0.360119048,0.537037037,0.362007168
AEEEM_EQ,0.765255416,0.170542636,0.035897436,0.405488091,0.278481013,0.412936058,0.23088357,0.47516835,0.540123457,0.362711864
AEEEM_EQ,0.600477042,0.147286822,0.051282051,0.373809646,0.240506329,0.395951321,0.164624689,0.392300195,0.554012346,0.372881356
