Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost,costeff
xer1_3,0.706106582,0.202898551,0.028645833,0.443944087,0.29787234,0.436000308,0.274206552,0.728003784,0.209713024,0.128504673
xer1_3,0.714145531,0.173913043,0.03125,0.410461035,0.258064516,0.415450506,0.228858673,0.695364238,0.215231788,0.132867133
xer1_3,0.715428744,0.15942029,0.028645833,0.393514374,0.241758242,0.405275344,0.218606518,0.695364238,0.216335541,0.134570766
xer1_3,0.714258756,0.202898551,0.044270833,0.440359016,0.28,0.435495515,0.225752288,0.662724693,0.216335541,0.130331754
xer1_3,0.714334239,0.173913043,0.0390625,0.408802599,0.25,0.415215622,0.204670937,0.657284768,0.218543046,0.133802817
xer1_3,0.707087862,0.217391304,0.041666667,0.456435465,0.3,0.445828329,0.250083905,0.685209713,0.213024283,0.127962085
xer1_3,0.712749094,0.15942029,0.028645833,0.393514374,0.241758242,0.405275344,0.218606518,0.695364238,0.216335541,0.134570766
xer1_3,0.713541667,0.15942029,0.0390625,0.39139869,0.231578947,0.404978938,0.185936114,0.639975918,0.220750552,0.135831382
xer1_3,0.714636171,0.15942029,0.033854167,0.392457958,0.23655914,0.405138523,0.201431959,0.667670078,0.218543046,0.135198135
xer1_3,0.722561896,0.231884058,0.036458333,0.472683776,0.323232323,0.456248535,0.282384645,0.714403974,0.208609272,0.125295508
xer1_3,0.713428442,0.15942029,0.036458333,0.391928682,0.234042553,0.405061575,0.193494682,0.653822998,0.219646799,0.135514019
xer1_3,0.709578804,0.217391304,0.036458333,0.457674098,0.306122449,0.446011922,0.2655987,0.705518764,0.210816777,0.127358491
xer1_3,0.713352959,0.173913043,0.0390625,0.408802599,0.25,0.415215622,0.204670937,0.657284768,0.218543046,0.133802817
xer1_3,0.713654891,0.15942029,0.033854167,0.392457958,0.23655914,0.405138523,0.201431959,0.667670078,0.218543046,0.135198135
xer1_3,0.712371679,0.15942029,0.036458333,0.391928682,0.234042553,0.405061575,0.193494682,0.653822998,0.219646799,0.135514019
xer1_3,0.716711957,0.217391304,0.0390625,0.457055201,0.303030303,0.445923178,0.257680079,0.695364238,0.21192053,0.127659574
xer1_3,0.707219958,0.188405797,0.033854167,0.426646781,0.273684211,0.425617177,0.238760861,0.695364238,0.214128035,0.131147541
xer1_3,0.703691123,0.231884058,0.041666667,0.471404521,0.316831683,0.456061487,0.266762232,0.695364238,0.210816777,0.125890736
xer1_3,0.710654438,0.173913043,0.033854167,0.409908968,0.255319149,0.415378001,0.220398639,0.682671082,0.216335541,0.13317757
