Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost,costeff
AEEEM_EQ,0.698350229,0.100775194,0.01025641,0.315818939,0.180555556,0.364110683,0.210875439,0.540598291,0.560185185,0.375404531
AEEEM_EQ,0.700695687,0.162790698,0.005128205,0.402437416,0.278145695,0.407992519,0.306779077,0.582892416,0.533950617,0.357615894
AEEEM_EQ,0.724547804,0.11627907,0.005128205,0.340121694,0.206896552,0.375104416,0.251124831,0.575308642,0.552469136,0.37012987
AEEEM_EQ,0.703637448,0.124031008,0.01025641,0.350369655,0.217687075,0.380553929,0.24314229,0.552083333,0.550925926,0.369281046
AEEEM_EQ,0.728920692,0.100775194,0.005128205,0.316636065,0.181818182,0.364141702,0.230270656,0.571225071,0.558641975,0.374193548
AEEEM_EQ,0.709004174,0.100775194,0,0.317451089,0.183098592,0.364152042,0.251370282,0.601851852,0.557098765,0.372990354
AEEEM_EQ,0.726177698,0.162790698,0.01025641,0.401398866,0.276315789,0.407959203,0.290758535,0.563932981,0.535493827,0.358803987
AEEEM_EQ,0.764579606,0.178294574,0.01025641,0.420078459,0.298701299,0.418921261,0.308258094,0.567230274,0.529320988,0.35451505
AEEEM_EQ,0.654462334,0.131782946,0.01025641,0.361152773,0.22972973,0.386034998,0.253195835,0.555010893,0.547839506,0.367213115
AEEEM_EQ,0.721526535,0.170542636,0.01025641,0.410844837,0.287581699,0.413440236,0.299600211,0.565656566,0.532407407,0.356666667
AEEEM_EQ,0.701570264,0.100775194,0.005128205,0.316636065,0.181818182,0.364141702,0.230270656,0.571225071,0.558641975,0.374193548
AEEEM_EQ,0.742754919,0.100775194,0.01025641,0.315818939,0.180555556,0.364110683,0.210875439,0.540598291,0.560185185,0.375404531
AEEEM_EQ,0.729039952,0.093023256,0.005128205,0.304214092,0.169014085,0.358660342,0.219242483,0.56867284,0.561728395,0.376205788
AEEEM_EQ,0.708765653,0.15503876,0.01025641,0.391725182,0.264900662,0.402478163,0.281716944,0.562037037,0.538580247,0.360927152
AEEEM_EQ,0.707096005,0.224806202,0.030769231,0.466785912,0.353658537,0.451423583,0.305994558,0.519476373,0.516975309,0.346020761
AEEEM_EQ,0.750029815,0.139534884,0.015384615,0.370659133,0.24,0.391462038,0.246847573,0.535493827,0.546296296,0.366336634
AEEEM_EQ,0.759928444,0.093023256,0.015384615,0.302641915,0.166666667,0.358578336,0.180869448,0.502314815,0.564814815,0.378640777
AEEEM_EQ,0.710157026,0.170542636,0.020512821,0.408710564,0.283870968,0.413305746,0.270330426,0.529461279,0.535493827,0.359060403
AEEEM_EQ,0.70952097,0.15503876,0.005128205,0.392738703,0.266666667,0.402511173,0.298066666,0.581944444,0.537037037,0.359735974
